id,domain,question,expected_behavior,expect_answerable,expected_answer,reference_hint,tags,eval_group,notes
21,regulations,ตามระเบียบการสอบ 2560 ถ้ามาสายเกิน 15 นาทีแต่ไม่เกิน 60 นาทีต้องทำอย่างไร?,ANSWER,true,ต้องยื่นคำร้องขอเข้าห้องสอบต่อประธานกรรมการจัดการสอบหรือผู้ที่มอบหมายเพื่อพิจารณาอนุญาตก่อนเข้าห้องสอบ,rule_exam2560.txt,clause_query|exam,regulations_clause_query,
22,regulations,ถ้ามาสายเกิน 60 นาทีตามระเบียบการสอบจะเกิดอะไรขึ้น?,ANSWER,true,หมดสิทธิ์เข้าห้องสอบ,rule_exam2560.txt,clause_query|exam,regulations_clause_query,
23,regulations,ข้อ 9 ระเบียบการสอบกำหนดเรื่องอุปกรณ์สื่อสารอย่างไร?,ANSWER,true,ห้ามเปิดเครื่องมือสื่อสารและอุปกรณ์อิเล็กทรอนิกส์ทุกชนิดในห้องสอบ,rule_exam2560.txt,clause_query|exam,regulations_clause_query,
24,regulations,นำเครื่องคำนวณเข้าห้องสอบได้เงื่อนไขใดและได้กี่เครื่อง?,ANSWER,true,ต้องเป็นรุ่นที่มหาวิทยาลัยกำหนดและติดสติกเกอร์จากสำนักงานทะเบียนนักศึกษา โดยนำเข้าได้คนละ 1 เครื่อง,rule_exam2560.txt,clause_query|exam,regulations_clause_query,
25,regulations,นักศึกษาจะออกจากห้องสอบได้เมื่อผ่านไปกี่นาที?,ANSWER,true,60 นาทีหลังเริ่มทำข้อสอบ,rule_exam2560.txt,clause_query|exam|numeric,regulations_clause_query,
26,regulations,การออกจากห้องสอบชั่วคราวต้องปฏิบัติอย่างไร?,ANSWER,true,ต้องได้รับอนุญาตจากกรรมการคุมสอบและห้ามนำเครื่องมือสื่อสารติดตัวไป,rule_exam2560.txt,clause_query|exam,regulations_clause_query,
27,regulations,ตามข้อ 28.1 ของระเบียบการสอบ ต้องยื่นอุทธรณ์ภายในกี่วัน?,ANSWER,true,ภายใน 15 วันนับแต่วันได้รับแจ้งคำสั่งลงโทษ,rule_exam2560.txt,clause_query|appeal|numeric,regulations_clause_query,
28,regulations,การอุทธรณ์ตามข้อ 28.2 ทำแทนผู้อื่นได้หรือไม่?,ANSWER,true,ไม่ได้ ต้องอุทธรณ์ได้เฉพาะตนเองเท่านั้น,rule_exam2560.txt,clause_query|appeal,regulations_clause_query,
29,regulations,ข้อ 6 ของระเบียบการสอบระบุว่าใครมีอำนาจวินิจฉัยชี้ขาดกรณีมีข้อขัดแย้ง?,ANSWER,true,อธิการบดี,rule_exam2560.txt,clause_query|authority,regulations_clause_query,
30,regulations,ระเบียบนี้ชื่อว่าอะไรและปีใด?,ANSWER,true,ระเบียบมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี ว่าด้วย การสอบของนักศึกษา พ.ศ. 2560,rule_exam2560.txt,clause_query|title,regulations_clause_query,
31,,สรุปค่าจัดส่งภายในประเทศของ t_fee ทั้งแบบลงทะเบียนและ EMS ให้ครบในคำตอบเดียว,ANSWER,true,ลงทะเบียน 50 บาท และ EMS 100 บาท,t_fee.txt,multi_doc|multi-intent|numeric,multi_doc_multi_intent,
32,,สรุปค่าจัดส่งไปต่างประเทศของ t_fee ทั้งแบบลงทะเบียนและ EMS,ANSWER,true,ลงทะเบียน 200 บาท และ EMS 1200 บาท,t_fee.txt,multi_doc|multi-intent|numeric,multi_doc_multi_intent,
33,,สรุปค่าจัดส่งปริญญาบัตรพร้อมปก/เข็ม ทั้งในประเทศและต่างประเทศตาม t_fee,ANSWER,true,ในประเทศ 100 บาท และต่างประเทศ 1000 บาท,t_fee.txt,multi_doc|multi-intent|numeric,multi_doc_multi_intent,
34,,ตอบพร้อมกันสองเรื่อง: หน่วยงานที่เรียกเก็บค่าธรรมเนียมจัดส่งเอกสารคือใคร และผู้ใดวินิจฉัยชี้ขาดกรณีมีปัญหาตามประกาศ t_fee,ANSWER,true,สำนักงานทะเบียนนักศึกษาเป็นผู้เรียกเก็บ และอธิการบดีเป็นผู้มีอำนาจวินิจฉัยชี้ขาด,t_fee.txt,multi_doc|multi-intent,multi_doc_multi_intent,
35,,ตอบพร้อมกันสองเรื่อง: CPE 342 คือวิชาอะไร และตามระเบียบการสอบถ้ามาสายเกิน 60 นาทีจะเป็นอย่างไร?,ANSWER,true,CPE 342 คือการเรียนรู้ของเครื่อง และถ้ามาสายเกิน 60 นาทีจะหมดสิทธิ์เข้าห้องสอบ,FOE10_วศ.บ.วิศวกรรมคอมพิวเตอร์_2564.txt;rule_exam2560.txt,multi_doc|multi-intent,multi_doc_multi_intent,
36,,ตอบสองเรื่องในคำตอบเดียว: หน่วยกิตรวมหลักสูตรวิศวกรรมคอมพิวเตอร์ 2564 และระยะเวลายื่นอุทธรณ์ตามข้อ 28.1,ANSWER,true,หลักสูตรมี 130 หน่วยกิต และต้องยื่นอุทธรณ์ภายใน 15 วัน,FOE10_วศ.บ.วิศวกรรมคอมพิวเตอร์_2564.txt;rule_exam2560.txt,multi_doc|multi-intent|numeric,multi_doc_multi_intent,
37,,ถ้าถามแค่ว่า ค่าจัดส่งเอกสารทางไปรษณีย์เท่าไร โดยไม่บอกประเภทบริการหรือปลายทาง ควรตอบอย่างไร?,CLARIFY,false,,t_fee.txt,multi_doc|ambiguous|clarify,multi_doc_multi_intent,
38,,ขอสองคำตอบพร้อมกัน: LNG 120 มี pre-requisite หรือไม่ และระบบลงทะเบียนเปิดกี่โมงถึงกี่โมง?,ANSWER,true,LNG 120 ไม่มี pre-requisite และระบบเปิด 07:00-23:00,วิชา LNG 2562.txt;ปฏิทินการศึกษา 2568.txt,multi_doc|multi-intent,multi_doc_multi_intent,
39,,สรุปสองกฎพร้อมกัน: เอาโทรศัพท์เข้าห้องสอบได้ไหม และเครื่องคิดเลขใช้ได้กี่เครื่อง?,ANSWER,true,ห้ามเปิดเครื่องมือสื่อสารในห้องสอบ และเครื่องคิดเลขอนุญาตคนละ 1 เครื่องตามรุ่นที่กำหนด,rule_exam2560.txt,multi_doc|multi-intent|exam,multi_doc_multi_intent,
40,,ขอสรุปหนึ่งประโยคที่รวมวันที่จ่ายค่าลงทะเบียนวันสุดท้ายและผลเกรดเมื่อถอนรายวิชาตามประกาศปฏิทิน,ANSWER,true,วันสุดท้ายชำระค่าลงทะเบียนคือ 8 มกราคม 2569 และการถอนรายวิชาได้ผลเป็น W,ปฏิทินการศึกษา 2568.txt,multi_doc|multi-intent|calendar,multi_doc_multi_intent,
41,announcements,วันสุดท้ายของการชำระเงินค่าลงทะเบียนภาค 2/2568 คือวันไหน?,ANSWER,true,8 มกราคม 2569,ปฏิทินการศึกษา 2568.txt,schedule|exact_fact|calendar,announcement_schedule,
42,announcements,ระบบลงทะเบียนเปิดให้บริการช่วงเวลาใด?,ANSWER,true,07:00-23:00 น.,ปฏิทินการศึกษา 2568.txt,schedule|exact_fact|calendar,announcement_schedule,
43,announcements,นักศึกษาอยู่ในระบบลงทะเบียนได้ครั้งละไม่เกินกี่นาที?,ANSWER,true,20 นาที,ปฏิทินการศึกษา 2568.txt,schedule|numeric|calendar,announcement_schedule,
44,announcements,กำหนดการลดรายวิชาโมดูล 5 สัปดาห์ ช่วงที่ 1 อยู่ระหว่างวันใด?,ANSWER,true,24 มกราคม - 6 กุมภาพันธ์ 2569,ปฏิทินการศึกษา 2568.txt,schedule|temporal|calendar,announcement_schedule,
45,announcements,การถอนรายวิชาในช่วงเวลาดังกล่าวได้ผลการประเมินเป็นอะไร?,ANSWER,true,W (Withdrawn),ปฏิทินการศึกษา 2568.txt,schedule|exact_fact|calendar,announcement_schedule,
46,announcements,นักศึกษาปี 1 (รหัส 68) ลงทะเบียนภาค 2/2568 ช่วงวันใด?,ANSWER,true,6-7 มกราคม 2569,ปฏิทินการศึกษา 2568.txt,schedule|temporal|calendar,announcement_schedule,
47,announcements,นักศึกษาปี 2 (รหัส 67) ลงทะเบียนภาค 2/2568 ช่วงวันใด?,ANSWER,true,5-7 มกราคม 2569,ปฏิทินการศึกษา 2568.txt,schedule|temporal|calendar,announcement_schedule,
48,announcements,นักศึกษาปี 3 (รหัส 66) ลงทะเบียนภาค 2/2568 ช่วงวันใด?,ANSWER,true,4-7 มกราคม 2569,ปฏิทินการศึกษา 2568.txt,schedule|temporal|calendar,announcement_schedule,
49,announcements,นศ.ป.โท-เอก (ยกเว้นนักศึกษาใหม่) ลงทะเบียนภาค 2/2568 ช่วงวันใด?,ANSWER,true,3-7 มกราคม 2569,ปฏิทินการศึกษา 2568.txt,schedule|temporal|calendar,announcement_schedule,
50,announcements,หากต้องการสอบถามรายละเอียดตารางเรียน-ตารางสอบควรติดต่อใคร?,ANSWER,true,ติดต่อเลขานุการภาควิชาหรือผู้ประสานงานการจัดตารางสอนของหลักสูตร,ปฏิทินการศึกษา 2568.txt,schedule|contact|calendar,announcement_schedule,
