name,teaching_part,level,course_code,course_title_th,credits
ผศ.ดร. จุมพล พลวิชัย,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 377,การออกแบบหุ่นยนต์ในทางปฏิบัติ,3
ผศ.ดร. จุมพล พลวิชัย,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 640,ปัญญาประดิษฐ์,3
ผศ.ดร. จุมพล พลวิชัย,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 643,การประยุกต์การเรียนรู้ของเครื่อง,3
ผศ.ดร. จุมพล พลวิชัย,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 101,เปิดโลกวิศวกรรมศาสตร์,3
ผศ.ดร. จุมพล พลวิชัย,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 342,การเรียนรู้ของเครื่อง,3
ผศ.ดร. จุมพล พลวิชัย,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 365,การเขียนโปรแกรมหุ่นยนต์อัจฉริยะ,3
ผศ.ดร. จุมพล พลวิชัย,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 366,การออกแบบหุ่นยนต์ในทางปฏิบัติ,3
ผศ.ดร. จุมพล พลวิชัย,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 457,ปัญญาประดิษฐ์,3
ผศ.ดร. พร พันธุ์จงหาญ,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 231,ระบบฐานข้อมูล,3
ผศ.ดร. พร พันธุ์จงหาญ,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 327,วิศวกรรมซอฟต์แวร์,3
ผศ.ดร. พร พันธุ์จงหาญ,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 611,ทฤษฎีแถวคอย,3
ผศ.ดร. พร พันธุ์จงหาญ,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 621,การนำเสนอแผนภาพข้อมูล,1
ผศ.ดร. พร พันธุ์จงหาญ,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 241,ระบบฐานข้อมูล,3
ผศ.ดร. พร พันธุ์จงหาญ,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 334,วิศวกรรมซอฟต์แวร์,3
ผศ.ดร. ขจรพงษ์ อัครจิตสกุล,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 231,ระบบฐานข้อมูล,3
ผศ.ดร. ขจรพงษ์ อัครจิตสกุล,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 327,วิศวกรรมซอฟต์แวร์,3
ผศ.ดร. ขจรพงษ์ อัครจิตสกุล,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 612,ทฤษฎีเกม,3
ผศ.ดร. ขจรพงษ์ อัครจิตสกุล,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 241,ระบบฐานข้อมูล,3
ผศ.ดร. ขจรพงษ์ อัครจิตสกุล,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 334,วิศวกรรมซอฟต์แวร์,3
ผศ. สนั่น สระแก้ว,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 121,คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์,3
ผศ. สนั่น สระแก้ว,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 122,พื้นฐานวงจรไฟฟ้าและอิเล็กทรอนิกส์,3
ผศ. สนั่น สระแก้ว,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 223,อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรก,3
ผศ. สนั่น สระแก้ว,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 328,ระบบสมองกลฝังตัว,3
ผศ. สนั่น สระแก้ว,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 111,คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์,3
ผศ. สนั่น สระแก้ว,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 121,พื้นฐานวงจรไฟฟ้าและอิเล็กทรอนิกส์,3
ผศ. สนั่น สระแก้ว,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 222,อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรก,3
ผศ. สนั่น สระแก้ว,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 223,สถาปัตยกรรมคอมพิวเตอร์,3
ผศ. สนั่น สระแก้ว,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 324,ระบบสมองกลฝังตัว,3
ผศ. พิพัฒน์ ศุภศิริสันต์,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 100,การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร,3
ผศ. พิพัฒน์ ศุภศิริสันต์,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 111,การเขียนโปรแกรมด้วยโครงสร้างข้อมูล,3
ผศ. พิพัฒน์ ศุภศิริสันต์,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 100,การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร,3
ผศ. พิพัฒน์ ศุภศิริสันต์,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 112,การเขียนโปรแกรมด้วยโครงสร้างข้อมูล,3
ผศ. สุรพนธ์ ตุ้มนาค,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 101,เปิดโลกวิศวกรรมศาสตร์,3
ผศ. สุรพนธ์ ตุ้มนาค,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 122,พื้นฐานวงจรไฟฟ้าและอิเล็กทรอนิกส์,3
ผศ. สุรพนธ์ ตุ้มนาค,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 223,อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรก,3
ผศ. สุรพนธ์ ตุ้มนาค,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 328,ระบบสมองกลฝังตัว,3
ผศ. สุรพนธ์ ตุ้มนาค,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 101,เปิดโลกวิศวกรรมศาสตร์,3
ผศ. สุรพนธ์ ตุ้มนาค,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 121,พื้นฐานวงจรไฟฟ้าและอิเล็กทรอนิกส์,3
ผศ. สุรพนธ์ ตุ้มนาค,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 222,อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรก,3
ผศ. สุรพนธ์ ตุ้มนาค,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 324,ระบบสมองกลฝังตัว,3
ผศ.ดร. ปริยกร ปุสวิโร,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 101,เปิดโลกวิศวกรรมศาสตร์,3
ผศ.ดร. ปริยกร ปุสวิโร,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 375,การประมวลผลแบบปฏิสัมพันธ์และการประยุกต์ในศาสตร์และศิลป์,3
ผศ.ดร. ปริยกร ปุสวิโร,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 101,เปิดโลกวิศวกรรมศาสตร์,3
ผศ.ดร. ปริยกร ปุสวิโร,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 364,การประมวลผลแบบปฏิสัมพันธ์และการประยุกต์ในศาสตร์และศิลป์,3
อ.ดร. จาตุรนต์ หาญสมบูรณ์,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 100,การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร,3
อ.ดร. จาตุรนต์ หาญสมบูรณ์,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 326,ระบบปฏิบัติการ,3
อ.ดร. จาตุรนต์ หาญสมบูรณ์,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 342,ภาษาโปรแกรมจาวา,3
อ.ดร. จาตุรนต์ หาญสมบูรณ์,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 465,การค้นคืนสารสนเทศสื่อประสม,3
อ.ดร. จาตุรนต์ หาญสมบูรณ์,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 651,การค้นคืนสารสนเทศสื่อประสม,3
อ.ดร. จาตุรนต์ หาญสมบูรณ์,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 223,สถาปัตยกรรมคอมพิวเตอร์,3
อ.ดร. จาตุรนต์ หาญสมบูรณ์,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 333,ระบบปฏิบัติการ,3
อ.ดร. จาตุรนต์ หาญสมบูรณ์,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 361,การโปรแกรมภาษาจาวา,3
อ.ดร. จาตุรนต์ หาญสมบูรณ์,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 362,การวิเคราะห์และออกแบบเชิงอ็อบเจ็กต์,3
อ.ดร. จาตุรนต์ หาญสมบูรณ์,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 367,การค้นคืนสารสนเทศสื่อประสม,3
อ.ดร. อัญชลิสา แต้ตระกูล,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 102,พื้นฐานการเขียนโปรแกรมคอมพิวเตอร์,3
อ.ดร. อัญชลิสา แต้ตระกูล,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 329,ธุรกิจอัจฉริยะ,3
อ.ดร. อัญชลิสา แต้ตระกูล,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 602,สัมมนาวิศวกรรมคอมพิวเตอร์,1
อ.ดร. อัญชลิสา แต้ตระกูล,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 663,การจำลองและแบบจำลองสถานการณ์สำหรับวิทยาศาสตร์เชิงคำนวณ,3
อ.ดร. อัญชลิสา แต้ตระกูล,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 354,การจำลองและแบบจำลองสถานการณ์สำหรับวิทยาศาสตร์เชิงคำนวณ,3
อ.ดร. อัญชลิสา แต้ตระกูล,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 355,การโปรแกรมและคำนวณเชิงควอนตัม,3
อ.ดร. คริษฐา แจ้งสามสี,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 100,การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร,3
อ.ดร. คริษฐา แจ้งสามสี,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 121,คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์,3
อ.ดร. คริษฐา แจ้งสามสี,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 122,พื้นฐานวงจรไฟฟ้าและอิเล็กทรอนิกส์,3
อ.ดร. คริษฐา แจ้งสามสี,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 223,อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรก,3
อ.ดร. คริษฐา แจ้งสามสี,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 663,การประมวลผลและวิเคราะห์ภาพดิจิทัล,3
อ.ดร. คริษฐา แจ้งสามสี,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 100,การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร,3
อ.ดร. คริษฐา แจ้งสามสี,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 111,คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์,3
อ.ดร. คริษฐา แจ้งสามสี,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 121,พื้นฐานวงจรไฟฟ้าและอิเล็กทรอนิกส์,3
อ.ดร. คริษฐา แจ้งสามสี,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 222,อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรก,3
อ.ดร. คริษฐา แจ้งสามสี,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 313,สัญญาณและระบบเชิงเส้น,3
