ข้อ,ประเภทคำถาม,คำถาม,คำตอบที่คาดหวัง,คำตอบ1,คำตอบ2,คำตอบ3,คำตอบ4
20,Factual,ในชั้นปีที่ 1 ภาคการศึกษาที่ 1 มีรายวิชาอะไรบ้าง?,"CPE 100 (การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร), CPE 101 (เปิดโลกวิศวกรรมศาสตร์), CPE 111 (คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์), LNG 120 (ภาษาอังกฤษทั่วไป), MTH 101 (คณิตศาสตร์ 1), PHY 103 (ฟิสิกส์ทั่วไปสำหรับนักศึกษาวิศวกรรมศาสตร์ 1) รวม 18 หน่วยกิต",,,,
21,Factual,รายวิชาใดบ้างที่นักศึกษาเรียนในชั้นปีที่ 1 ภาคการศึกษาที่ 2?,"CPE 112, CPE 121, GEN 121, LNG 220, MTH 102, PHY 104 รวม 18 หน่วยกิต",,,,
22,Factual,ในชั้นปีที่ 2 ภาคการศึกษาที่ 1 นักศึกษาเลือกเรียนวิชาวิทยาศาสตร์พื้นฐานได้ระหว่างวิชาใด?,เลือกระหว่าง CHM 103 เคมีพื้นฐาน หรือ MIC 101 ชีววิทยาทั่วไป,,,,
23,Factual,วิชา CPE 301 เปิดสอนในชั้นปีที่เท่าไร ภาคการศึกษาที่เท่าไร?,ชั้นปีที่ 3 ภาคการศึกษาที่ 2,,,,
24,Factual,วิชา PRE 380 เศรษฐศาสตร์วิศวกรรม เรียนในชั้นปีใด?,ชั้นปีที่ 3 ภาคการศึกษาที่ 1,,,,
25,Factual,วิชา GEN 101 พลศึกษา เรียนในชั้นปีที่เท่าไร?,ชั้นปีที่ 3 ภาคการศึกษาที่ 1,,,,
26,Hallucination Trap,วิชา STA 302 สถิติสำหรับวิศวกร เรียนในชั้นปีที่ 3 ภาคการศึกษาที่ 1 ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง วิชา STA 302 เรียนในชั้นปีที่ 2 ภาคการศึกษาที่ 2 ไม่ใช่ปีที่ 3,,,,
27,Hallucination Trap,วิชา MTH 234 พีชคณิตเชิงเส้น เรียนในชั้นปีที่ 1 ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง วิชา MTH 234 เรียนในชั้นปีที่ 2 ภาคการศึกษาที่ 1 ไม่ใช่ปีที่ 1,,,,
28,Factual,วิชา CPE 342 การเรียนรู้ของเครื่อง ครอบคลุมเทคนิคการเรียนรู้ประเภทใดบ้าง?,"Supervised learning, Unsupervised learning และ Reinforcement learning",,,,
29,Factual,วิชา CPE 342 มีจำนวนหน่วยกิตและรูปแบบชั่วโมงอย่างไร?,3 หน่วยกิต รูปแบบ 3(2-2-6) คือ บรรยาย 2 ชม./สัปดาห์ ปฏิบัติ 2 ชม./สัปดาห์ ศึกษาด้วยตนเอง 6 ชม./สัปดาห์,,,,
30,Factual,วิชา CPE 333 ระบบปฏิบัติการครอบคลุมเรื่องอะไรบ้าง?,ทฤษฎีระบบดำเนินการ การจัดการหน่วยความจำ การจัดลำดับการประมวล การจัดการหน่วยนำเข้า-ส่งออก การจัดการสารสนเทศ ภาษาควบคุมงาน ตัวแปลภาษาแอสเซมบลี ตัวดึงและเชื่อมโปรแกรม และตัวอย่างของระบบดำเนินงาน,,,,
31,Factual,วิชา CPE 314 เครือข่ายคอมพิวเตอร์มีผลลัพธ์การเรียนรู้กี่ข้อ?,"4 ข้อ ได้แก่ อธิบายฟังก์ชันของโปรโตคอล TCP/IP, ออกแบบและพัฒนาแอปพลิเคชันเครือข่าย, ออกแบบเครือข่ายขนาดเล็ก, และกำหนดค่าส่วนประกอบบริการเครือข่าย",,,,
32,Factual,วิชา CPE 401 โครงงานวิศวกรรมคอมพิวเตอร์ 1 มีจำนวนหน่วยกิตและรูปแบบชั่วโมงอย่างไร?,3 หน่วยกิต รูปแบบ 3(0-6-9),,,,
33,Factual,วิชา CPE 402 โครงงานวิศวกรรมคอมพิวเตอร์ 2 มีวิชาบังคับก่อน (Pre-requisite) คืออะไร?,CPE 401 โครงงานวิศวกรรมคอมพิวเตอร์ 1,,,,
34,Factual,วิชา CPE 403 การศึกษาเชิงบูรณาการกับการทำงาน (Work-Integrated Learning) กำหนดให้นักศึกษาปฏิบัติงานกี่วันต่อสัปดาห์ และนานกี่สัปดาห์?,5 วันต่อสัปดาห์ เป็นเวลา 16 สัปดาห์,,,,
35,Factual,วิชา CPE 403 มีจำนวนหน่วยกิตเท่าไร?,9 หน่วยกิต รูปแบบ 9(0-35-5),,,,
36,Factual,วิชา CPE 324 ระบบสมองกลฝังตัวเน้นการทดลองในลักษณะใด?,เน้นให้นักศึกษาออกแบบฮาร์ดแวร์ด้วยตนเอง มากกว่าการใช้ชิ้นงานที่มีลิขสิทธิ์ (proprietary approaches),,,,
37,Factual,วิชา CPE 313 สัญญาณและระบบเชิงเส้น ครอบคลุมการแปลง (transform) ใดบ้าง?,"Fourier analysis, Laplace transforms และ Z-transform",,,,
38,Factual,วิชา CPE 301 ประเด็นความเป็นมืออาชีพด้านวิศวกรรมคอมพิวเตอร์ มีจำนวนหน่วยกิตเท่าไร?,1 หน่วยกิต รูปแบบ 1(1-0-2),,,,
39,Factual,วิชา CPE 334 วิศวกรรมซอฟต์แวร์ กำหนดให้นักศึกษาทำโครงงานในรูปแบบใด?,โครงงานกลุ่ม (Team-based collaborative term project) โดยต้องวิเคราะห์ระบบซอฟต์แวร์และสร้างเอกสารสำหรับใช้ในระยะต่างๆ ของวงจรชีวิตซอฟต์แวร์,,,,
40,Hallucination Trap,วิชา CPE 342 การเรียนรู้ของเครื่อง สอนเฉพาะ Supervised Learning เท่านั้น ใช่หรือไม่?,"ข้อมูลในคำถามไม่ถูกต้อง วิชา CPE 342 ครอบคลุมทั้ง Supervised, Unsupervised และ Reinforcement Learning",,,,
41,Hallucination Trap,วิชา CPE 403 กำหนดให้นักศึกษาปฏิบัติงานสัปดาห์ละ 3 วัน ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง วิชา CPE 403 กำหนดให้ปฏิบัติงาน 5 วันต่อสัปดาห์ ไม่ใช่ 3 วัน,,,,
42,Hallucination Trap,วิชา CPE 401 มีจำนวน 6 หน่วยกิต ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง วิชา CPE 401 มี 3 หน่วยกิต รูปแบบ 3(0-6-9),,,,
43,Hallucination Trap,วิชา CPE 333 ระบบปฏิบัติการ มีวิชาบังคับก่อน (Pre-requisite) คือ CPE 223 ใช่หรือไม่?,เอกสารที่มีไม่ได้ระบุว่า CPE 333 มีวิชาบังคับก่อน ไม่สามารถยืนยันข้อมูลนี้ได้,,,,
44,Factual,บัณฑิตที่จบจากหลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. สามารถประกอบอาชีพอะไรได้บ้าง (ระบุทั้งหมด)?,(1) วิศวกรคอมพิวเตอร์ (2) นักวิชาการคอมพิวเตอร์ (3) นักวิเคราะห์และออกแบบระบบคอมพิวเตอร์ (4) นักพัฒนาซอฟต์แวร์และระบบคอมพิวเตอร์ (5) นักวิทยาศาสตร์ข้อมูล (6) ผู้ดูแลระบบเครือข่ายและคลังข้อมูล (7) ผู้จัดการซอฟต์แวร์ (8) ผู้จัดการโครงการคอมพิวเตอร์ (9) นักพัฒนาเว็บไซต์ (10) ประกอบธุรกิจส่วนตัว,,,,
45,Factual,หลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. ระบุอาชีพที่สามารถประกอบได้หลังสำเร็จการศึกษาทั้งหมดกี่อาชีพ?,10 อาชีพ,,,,
46,Hallucination Trap,"หลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. ระบุ ""แพทย์ผู้เชี่ยวชาญด้านเทคโนโลยี"" เป็นหนึ่งในอาชีพที่บัณฑิตสามารถประกอบได้ ใช่หรือไม่?",ไม่ถูกต้อง เอกสารไม่ได้ระบุอาชีพดังกล่าว อาชีพที่ระบุไว้มี 10 อาชีพ เช่น วิศวกรคอมพิวเตอร์ นักพัฒนาซอฟต์แวร์ นักวิทยาศาสตร์ข้อมูล เป็นต้น,,,,
47,Factual,อาจารย์ผู้รับผิดชอบหลักสูตรคนแรกที่ระบุในเอกสารคือใคร?,รศ.ดร. พีรพล ศิริพงศ์วุฒิกร,,,,
48,Factual,รศ.ดร. พีรพล ศิริพงศ์วุฒิกร สำเร็จการศึกษาระดับปริญญาเอกสาขาอะไร จากสถาบันใด?,Ph.D. (Information Science) จาก University of Pittsburgh ประเทศสหรัฐอเมริกา (ปี 2003),,,,
49,Hallucination Trap,รศ.ดร. พีรพล ศิริพงศ์วุฒิกร สำเร็จการศึกษาระดับปริญญาโทสาขา Computer Science ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง ปริญญาโทของ รศ.ดร. พีรพล คือ M.Sc. (Telecommunications) จาก University of Pittsburgh ไม่ใช่ Computer Science,,,,
50,Hallucination Trap,หลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. มีอาจารย์ผู้รับผิดชอบหลักสูตรทั้งหมด 3 คน ใช่หรือไม่?,ไม่สามารถยืนยันได้จากข้อมูลที่ให้มา เอกสารระบุชื่ออาจารย์ผู้รับผิดชอบหลักสูตรมากกว่า 1 คน แต่ไม่สามารถสรุปตัวเลขรวมได้จากส่วนที่อ่านได้,,,,
51,Factual,วิชา LNG 120 General English เทียบเท่าระดับ CEFR ใด?,ระดับ CEFR A2,,,,
52,Factual,วิชา LNG 120 มีวิชาบังคับก่อน (Pre-requisite) หรือไม่?,ไม่มี (ไม่มี Pre-requisite),,,,
53,Factual,วิชา LNG 220 Academic English มีวิชาบังคับก่อนคืออะไร?,LNG 120 General English หรือได้รับการยกเว้นไม่ต้องเรียนวิชา LNG 120 ในกรณีคะแนนสอบ O-Net สูงกว่า 40 คะแนน,,,,
54,Factual,เกณฑ์การให้เกรดในรายวิชาภาษา (LNG) กำหนดว่าเกรด A ต้องได้คะแนนเท่าไร?,85–100 คะแนน,,,,
55,Factual,วิชา LNG 200 Effective Listening เทียบเท่าระดับ CEFR ใด?,ระดับ CEFR B1 (ทักษะการฟังและการพูด),,,,
56,Factual,วิชา LNG 200 Effective Listening มีวิชาบังคับก่อนคืออะไร?,LNG 220 Academic English หรือ LNG 222 Academic Listening and Speaking in International Contexts,,,,
57,Factual,วิชา LNG 201 Extensive Reading มีจุดมุ่งหมายหลักอย่างไร?,เพื่อสร้างความมั่นใจ แรงจูงใจ ความเพลิดเพลิน และความรักในการอ่าน โดยให้นักศึกษาเลือกสื่อการอ่านที่ตรงกับระดับความสามารถและความสนใจของตนเอง,,,,
58,Factual,วิชา LNG 221 Academic English in International Contexts มีวิชาบังคับก่อนหรือไม่?,ไม่มี (Pre-requisite: ไม่มี),,,,
59,Factual,เกณฑ์การได้เกรด F ในรายวิชาภาษา LNG คือช่วงคะแนนใด?,0–54 คะแนน,,,,
60,Factual,วิชา LNG 206 Self-directed Learning มีผลลัพธ์การเรียนรู้ (Learning Outcomes) กี่ข้อ?,5 ข้อ ได้แก่ (1) ระบุจุดแข็งและจุดอ่อนในการเรียน (2) วางแผนพัฒนาการเรียนรู้ (3) เลือกแหล่งเรียนรู้ที่เหมาะสม (4) ติดตามและประเมินการเรียนรู้ของตนเอง (5) มีความรับผิดชอบและตรงต่อมาตรฐานจริยธรรม,,,,
61,Hallucination Trap,วิชา LNG 120 General English เทียบเท่าระดับ CEFR B1 ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง วิชา LNG 120 เทียบเท่าระดับ CEFR A2 ไม่ใช่ B1,,,,
62,Hallucination Trap,วิชา LNG 220 Academic English กำหนดให้นักศึกษาต้องสอบ O-Net ได้สูงกว่า 50 คะแนนจึงจะได้รับการยกเว้น ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง เกณฑ์คะแนน O-Net คือสูงกว่า 40 คะแนน ไม่ใช่ 50 คะแนน,,,,
63,Hallucination Trap,วิชา LNG 200 Effective Listening มีหน่วยกิต 3 หน่วยกิต ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง วิชา LNG 200 มีเพียง 1 หน่วยกิต รูปแบบ 1(1-0-2),,,,
64,Hallucination Trap,วิชา LNG 202 Basic Reading for Science and Technology มีวิชาบังคับก่อนคือ LNG 120 General English เท่านั้น ใช่หรือไม่?,ข้อมูลในคำถามไม่ครบถ้วน Pre-requisite ของ LNG 202 คือ LNG 220 Academic English หรือ LNG 222 หรือ LNG 321 ไม่ใช่ LNG 120,,,,
65,Factual,โครงสร้างหลักสูตรวิชาศึกษาทั่วไปของ มจธ. แบ่งเป็นกลุ่มวิชาบังคับกี่หน่วยกิต และกลุ่มวิชาบังคับเลือกกี่หน่วยกิต?,กลุ่มวิชาบังคับ 25 หน่วยกิต และกลุ่มวิชาบังคับเลือก 6 หน่วยกิต รวม 31 หน่วยกิต,,,,
66,Factual,กลุ่มวิชาบังคับในหมวดศึกษาทั่วไปของ มจธ. ประกอบด้วยกลุ่มวิชาอะไรบ้างและมีกี่หน่วยกิต?,"กลุ่มวิชาสุขพลานามัย 1 หน่วยกิต, กลุ่มวิชาบูรณาการ 15 หน่วยกิต, กลุ่มวิชาภาษา 9 หน่วยกิต รวม 25 หน่วยกิต",,,,
67,Factual,วิชา GEN 111 มนุษย์กับหลักจริยศาสตร์เพื่อการดำเนินชีวิต อยู่ในกลุ่มคุณลักษณะใดของหลักสูตรศึกษาทั่วไป?,กลุ่มคุณธรรมและจริยธรรมในการดำเนินชีวิต,,,,
68,Factual,วิชา GEN 121 ทักษะการเรียนรู้และการแก้ปัญหา อยู่ในกลุ่มคุณลักษณะใด?,กลุ่มการเรียนรู้ตลอดชีวิต,,,,
69,Factual,วิชา GEN 231 มหัศจรรย์แห่งความคิด อยู่ในกลุ่มคุณลักษณะใด?,กลุ่มการคิดอย่างมีระบบ,,,,
70,Factual,วิชา GEN 241 ความงดงามแห่งชีวิต อยู่ในกลุ่มคุณลักษณะใด?,กลุ่มคุณค่าและความงาม,,,,
71,Factual,หน่วยงานใดรับผิดชอบจัดการเรียนการสอนกลุ่มวิชาภาษาในหมวดศึกษาทั่วไปของ มจธ.?,สายวิชาภาษา,,,,
72,Factual,นักศึกษาที่เข้าศึกษาในปีการศึกษา 2553 ต้องเรียนวิชาบังคับเลือกหมวดศึกษาทั่วไปกี่หน่วยกิต และมีเงื่อนไขพิเศษอะไร?,6 หน่วยกิต โดยวิชาบังคับเลือก 6 หน่วยกิตนั้นจะต้องไม่อยู่ในกลุ่มวิชาเดียวกัน,,,,
73,Hallucination Trap,กลุ่มวิชาสุขพลานามัยในหมวดศึกษาทั่วไปของ มจธ. มี 3 หน่วยกิต ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง กลุ่มวิชาสุขพลานามัยมีเพียง 1 หน่วยกิต (GEN 101 พลศึกษา),,,,
74,Hallucination Trap,หมวดวิชาศึกษาทั่วไปของ มจธ. มีวิชาบังคับเลือกที่นักศึกษาต้องเลือกจากกลุ่มเดียวกันทั้งหมด ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง วิชาบังคับเลือก 6 หน่วยกิตนั้น ต้องไม่อยู่ในกลุ่มวิชาเดียวกัน เพื่อให้นักศึกษามีความรู้หลากหลาย,,,,
75,Factual,วิชา SSC 162 สังคมและวัฒนธรรม มีกี่หน่วยกิตและรูปแบบชั่วโมงอย่างไร?,3 หน่วยกิต รูปแบบ 3(3-0-6),,,,
76,Factual,วิชา SSC 210 มนุษย์กับหลักจริยาศาสตร์เพื่อคุณภาพชีวิต มีรูปแบบชั่วโมงอย่างไร?,3(2-2-6) คือ บรรยาย 2 ชม. + ปฏิบัติ 2 ชม. + ศึกษาด้วยตนเอง 6 ชม.,,,,
77,Factual,วิชา SSC 213 ตรรกศาสตร์เบื้องต้นครอบคลุมเรื่องอะไรบ้าง (โดยสังเขป)?,ครอบคลุมความหมายและขอบเขตของตรรกวิทยา กฎแห่งความคิด ศัพท์ คำนิยาม ตรรกประโยค ปรัตนุมาน การอ้างเหตุผลแบบนิรนัยและอุปนัย และความผิดพลาดทางตรรกะ,,,,
78,Factual,วิชา SSC 231 จิตวิทยาทั่วไปครอบคลุมเรื่องอะไรบ้าง?,ครอบคลุมพัฒนาการมนุษย์ พื้นฐานทางชีววิทยาของพฤติกรรม ความรู้สึกและการรับรู้ การเรียนรู้ ความจำ การคิดและภาษา เชาวน์ปัญญา แรงจูงใจ อารมณ์ ความเครียด บุคลิกภาพ พฤติกรรมอปกติและการบำบัดรักษา,,,,
79,Hallucination Trap,วิชา SSC 162 สังคมและวัฒนธรรม มีรูปแบบชั่วโมง 2(2-0-4) ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง วิชา SSC 162 มีรูปแบบ 3(3-0-6) ไม่ใช่ 2(2-0-4),,,,
80,Hallucination Trap,วิชา SSC 337 การทำงานเป็นทีม อยู่ในหมวดวิชาบังคับของหลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. ใช่หรือไม่?,เอกสารที่มีไม่ได้ระบุว่า SSC 337 อยู่ในหมวดวิชาบังคับของหลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. โดยตรง SSC 337 ปรากฏอยู่ในรายชื่อวิชา SSC ซึ่งอาจเป็นวิชาบังคับเลือกหรือวิชาเลือกเสรี,,,,
81,Factual,"ในกรอบมาตรฐาน TQF สำหรับหมวดวิชาภาษา ด้าน ""ความรู้ (K)"" แบ่งออกเป็นกี่ระดับ?","3 ระดับ ได้แก่ K1, K2, K3",,,,
82,Factual,ระดับความสามารถด้านทักษะ (S) ระดับ S3 หมายความว่าอะไร?,สามารถลงมือปฏิบัติได้ด้วยตนเองในทุกขั้นตอนด้วยความถูกต้อง/ความเชี่ยวชาญของตนเองเป็นหลัก,,,,
83,Factual,ในกรอบ TQF ด้านจริยธรรม (E) และลักษณะบุคคล (C) ระดับ E3/C3 หมายความว่าอะไร?,เป็นผู้นำ ริเริ่ม ให้เกิดการเปลี่ยนแปลงของสถานการณ์ไปในทิศทางที่ดีขึ้น,,,,
84,Factual,"ด้าน ""ลักษณะบุคคล (C)"" ในกรอบ TQF มีกี่มิติ และมีอะไรบ้าง?",3 มิติ ได้แก่ (C1) ความเป็นผู้นำ (C2) ความรับผิดชอบต่อสังคม (C3) Life long learner,,,,
85,Hallucination Trap,ระดับความสามารถด้านทักษะ (S) ระดับ S1 หมายถึงนักศึกษาสามารถปฏิบัติได้ด้วยตนเองทุกขั้นตอนโดยไม่ต้องพึ่งอาจารย์ ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง S1 หมายถึงสามารถแสดงออกถึงทักษะโดยอาศัยการให้ความช่วยเหลือหรือภายใต้การควบคุมโดยผู้สอนในแต่ละขั้นตอน ส่วนที่ปฏิบัติได้ด้วยตนเองทุกขั้นตอนคือระดับ S3,,,,
86,Hallucination Trap,หลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. มีวิชาเอก (Major) ที่นักศึกษาต้องเลือก ใช่หรือไม่?,"ไม่ถูกต้อง เอกสารระบุชัดเจนว่า ""วิชาเอก (ถ้ามี): ไม่มี""",,,,
87,Hallucination Trap,วิชา CPE 100 การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร มีวิชาบังคับก่อนคือ MTH 101 ใช่หรือไม่?,เอกสารที่ให้มาไม่ได้ระบุว่า CPE 100 มีวิชาบังคับก่อน ไม่สามารถยืนยันข้อมูลนี้ได้,,,,
88,Hallucination Trap,หลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. มีความร่วมมือกับมหาวิทยาลัยในต่างประเทศในการจัดหลักสูตรร่วม ใช่หรือไม่?,"ไม่ถูกต้อง เอกสารระบุว่า ""เป็นหลักสูตรของสถาบันโดยเฉพาะ"" และ ""ให้ปริญญาเพียงสาขาวิชาเดียว""",,,,
89,Hallucination Trap,วิชา LNG 275 ภาษาจีนกลาง 1 มีจำนวน 2 หน่วยกิต ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง วิชา LNG 275 ภาษาจีนกลาง 1 มี 3 หน่วยกิต รูปแบบ 3(3-0-6),,,,
90,Hallucination Trap,"วิชาศึกษาทั่วไปหมวด GEN มีการสอนวิชา ""วิทยาการหุ่นยนต์"" ใช่หรือไม่?","ไม่มีข้อมูลนี้ในเอกสาร เอกสารที่ให้มาไม่มีรายวิชา ""วิทยาการหุ่นยนต์"" ในหมวด GEN",,,,
91,Hallucination Trap,วิชา GEN 411 การพัฒนาบุคลิกภาพและการพูดในที่สาธารณะ อยู่ในกลุ่มการเรียนรู้ตลอดชีวิต ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง วิชา GEN 411 อยู่ในกลุ่มคุณธรรมและจริยธรรมในการดำเนินชีวิต ไม่ใช่กลุ่มการเรียนรู้ตลอดชีวิต,,,,
92,Hallucination Trap,หลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. เริ่มใช้มาตั้งแต่ พ.ศ. 2540 ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง เอกสารระบุว่าเริ่มใช้มาตั้งแต่ พ.ศ. 2530 ไม่ใช่ พ.ศ. 2540,,,,
93,Hallucination Trap,วิชา CPE 474 ความมั่นคงของสารสนเทศและคอมพิวเตอร์เป็นวิชาบังคับในหลักสูตร ใช่หรือไม่?,เอกสารที่มีไม่ได้ระบุว่า CPE 474 เป็นวิชาบังคับ มีการกล่าวถึงในส่วนข้อเสนอแนะผู้ทรงคุณวุฒิในบริบทของการเพิ่มเนื้อหา Blockchain ไม่สามารถสรุปได้ว่าเป็นวิชาบังคับ,,,,
94,Hallucination Trap,คะแนน O-Net ที่ใช้ยกเว้นการเรียน LNG 220 คือสูงกว่า 60 คะแนน ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง เกณฑ์คะแนน O-Net ที่ใช้ยกเว้นการเรียน LNG 120 (ไม่ใช่ LNG 220) คือสูงกว่า 40 คะแนน ไม่ใช่ 60 คะแนน,,,,
95,Hallucination Trap,ผลลัพธ์การเรียนรู้ของวิชา LNG 120 มี 8 ข้อ ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง วิชา LNG 120 มีผลลัพธ์การเรียนรู้ 6 ข้อ ไม่ใช่ 8 ข้อ,,,,
96,Inference,จากโครงสร้างหลักสูตร หน่วยกิตในหมวดวิชาศึกษาทั่วไป + หมวดวิชาเฉพาะ + หมวดวิชาเลือกเสรี รวมกันได้เท่าไร และตรงกับจำนวนหน่วยกิตรวมที่กำหนดไว้หรือไม่?,31 + 93 + 6 = 130 หน่วยกิต ซึ่งตรงกับจำนวนหน่วยกิตรวมตลอดหลักสูตร 130 หน่วยกิต,,,,
97,Inference,จากแผนการศึกษา ชั้นปีที่ 1 ทั้ง 2 ภาคการศึกษา นักศึกษาเรียนกี่หน่วยกิตทั้งหมด?,ภาค 1 = 18 หน่วยกิต + ภาค 2 = 18 หน่วยกิต รวม 36 หน่วยกิต,,,,
