Announcements — คำถาม (นักศึกษาจะถาม) และคำตอบที่คาดว่าจะตอบ,,,,,
,,,,,
10,ค่าธรรมเนียมจัดส่งเอกสารสำคัญทางการศึกษาทางไปรษณีย์ (ตามที่ระบุ) เท่าไร?,3.1.1 กรณีส่งไปรษณีย์ลงทะเบียน (Registered) ครั้งละ 50 บาท,"- ค่าธรรมเนียมจัดส่งเอกสารสำคัญทางการศึกษาทางไปรษณีย์ในประเทศ
- กรณีส่งไปรษณีย์ลงทะเบียน (Registered): ครั้งละ 77 บาท
- กรณีส่งไปรษณีย์ด่วนพิเศษ (EMS): ครั้งละ 79 บาท
- ค่าธรรมเนียมจัดส่งเอกสารสำคัญทางการศึกษาไปต่างประเทศ
- กรณีส่งไปรษณีย์ลงทะเบียน (Registered): ครั้งละ 22 บาท
- กรณีส่งไปรษณีย์ด่วนพิเศษ (EMS): ครั้งละ 24 บาท
- ค่าธรรมเนียมจัดส่งปริญญาบัตรพร้อมปก/เข็มทางไปรษณีย์
- กรณีแบบลงทะเบียนภายในประเทศ: ครั้งละ 27 บาท
- กรณีแบบลงทะเบียนไปต่างประเทศ: ครั้งละ 29 บาท
**หมายเหตุ:** ข้อมูลดังกล่าวอ้างอิงจาก ""ประกาศมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรีเรื่องอัตราค่าธรรมเนียมการบริการจัดส่งเอกสารสำคัญทางการศึกษาทางไปรษณีย์พ.ศ. 2562"" ซึ่งมีผลบังคับใช้ตั้งแต่ปีการศึกษา 2563 เป็นต้นไป.",,
11,ค่าธรรมเนียมจัดส่งเอกสารสำคัญทางการศึกษาทางไปรษณีย์ (ตามที่ระบุ) เท่าไร? (อ้างอิง: t_fee.txt),3.1.2 กรณีส่งไปรษณีย์ด่วนพิเศษ (EMS) ครั้งละ 100 บาท,"- ค่าธรรมเนียมจัดส่งเอกสารสำคัญทางการศึกษาทางไปรษณีย์ภายในประเทศ:
- กรณีส่งไปรษณีย์ลงทะเบียน (Registered): ครั้งละ 77 บาท
- กรณีส่งไปรษณีย์ด่วนพิเศษ (EMS): ครั้งละ 79 บาท
- ค่าธรรมเนียมจัดส่งเอกสารสำคัญทางการศึกษาไปต่างประเทศ:
- กรณีส่งไปรษณีย์ลงทะเบียน (Registered): ครั้งละ 22 บาท
- กรณีส่งไปรษณีย์ด่วนพิเศษ (EMS): ครั้งละ 24 บาท
- ค่าธรรมเนียมจัดส่งปริญญาบัตรพร้อมปก/เข็มทางไปรษณีย์ (หลังพิธีพระราชทานปริญญาบัตร):
- กรณีลงทะเบียนภายในประเทศ: ครั้งละ 27 บาท
- กรณีลงทะเบียนไปต่างประเทศ: ครั้งละ 29 บาท
**หมายเหตุ:** ข้อมูลดังกล่าวอ้างอิงจากเอกสาร t_fee.txt ซึ่งระบุอัตราค่าธรรมเนียมโดยตรง.",,
12,ค่าธรรมเนียมจัดส่งเอกสารสำคัญทางการศึกษาทางไปรษณีย์ (ตามที่ระบุ) เท่าไร? (อ้างอิง: t_fee.txt),3.2.1 กรณีส่งไปรษณีย์ลงทะเบียน (Registered) ครั้งละ 200 บาท,"- ค่าธรรมเนียมจัดส่งเอกสารสำคัญทางการศึกษาทางไปรษณีย์ภายในประเทศ:
- กรณีส่งไปรษณีย์ลงทะเบียน (Registered): ครั้งละ 77 บาท
- กรณีส่งไปรษณีย์ด่วนพิเศษ (EMS): ครั้งละ 79 บาท
- ค่าธรรมเนียมจัดส่งเอกสารสำคัญทางการศึกษาไปต่างประเทศ:
- กรณีส่งไปรษณีย์ลงทะเบียน (Registered): ครั้งละ 22 บาท
- กรณีส่งไปรษณีย์ด่วนพิเศษ (EMS): ครั้งละ 24 บาท
- ค่าธรรมเนียมจัดส่งปริญญาบัตรพร้อมปก/เข็มทางไปรษณีย์:
- กรณีแบบลงทะเบียนภายในประเทศ: ครั้งละ 27 บาท
- กรณีแบบลงทะเบียนไปต่างประเทศ: ครั้งละ 29 บาท
**หมายเหตุ:** ข้อมูลดังกล่าวอ้างอิงจากเอกสาร t_fee.txt ซึ่งระบุอัตราค่าธรรมเนียมโดยตรง.",,
13,ค่าธรรมเนียมจัดส่งเอกสารสำคัญทางการศึกษาทางไปรษณีย์ (ตามที่ระบุ) เท่าไร? (อ้างอิง: t_fee.txt),"3.2.2 กรณีส่งไปรษณีย์ด่วนพิเศษ (EMS) ครั้งละ 1,200 บาท","- ค่าธรรมเนียมจัดส่งเอกสารสำคัญทางการศึกษาทางไปรษณีย์ภายในประเทศ:
- กรณีส่งไปรษณีย์ลงทะเบียน (Registered): ครั้งละ 77 บาท
- กรณีส่งไปรษณีย์ด่วนพิเศษ (EMS): ครั้งละ 79 บาท
- ค่าธรรมเนียมจัดส่งเอกสารสำคัญทางการศึกษาไปต่างประเทศ:
- กรณีส่งไปรษณีย์ลงทะเบียน (Registered): ครั้งละ 22 บาท
- กรณีส่งไปรษณีย์ด่วนพิเศษ (EMS): ครั้งละ 24 บาท
- ค่าธรรมเนียมจัดส่งปริญญาบัตรพร้อมปก/เข็มทางไปรษณีย์:
- กรณีแบบลงทะเบียนภายในประเทศ: ครั้งละ 27 บาท
- กรณีแบบลงทะเบียนไปต่างประเทศ: ครั้งละ 29 บาท
**หมายเหตุ:** ข้อมูลดังกล่าวอ้างอิงจากเอกสาร t_fee.txt ซึ่งระบุอัตราค่าธรรมเนียมโดยตรง.",,
14,ค่าธรรมเนียมตามรายการนี้คิดเท่าไร?,3.3.1 กรณีแบบลงทะเบียนภายในประเทศ ครั้งละ 100 บาท,"- ค่าธรรมเนียมที่ระบุในบริบทรวมถึง:
- ค่าสมัครสอบคัดเลือก: 200 บาท/หลักสูตร
- ค่าตรวจโรค: 30 บาท
- ค่าใบรายงานผลการศึกษา: 30 บาท/ชุด
- ค่าหนังสือรับรองทุกประเภท: 70 บาท/ฉบับ
- ค่าใบแปลปริญญาบัตร: 70 บาท/ฉบับ
- ค่าใบทะนำปริญญาบัตรหรือประกาศนียบัตร: 70 บาท/ฉบับ
- ค่าบัตรประจำตัวนักศึกษา: 70 บาท/ฉบับ
- ค่าใบแทนบัตรประจำตัวเพื่อใช้ในการเข้าห้องสอบ: 260 บาท
- ค่าธรรมเนียมการขอย้ายภาควิชา/สายวิชา: 260 บาท
- ค่าประกันอุบัติเหตุ: 500 บาท/ปีการศึกษา
- หมายเหตุ:
- ข้อมูลด้านบนอ้างอิงจาก ""ประกาศสถาบันเทคโนโลยีพระจอมเกล้าธนบุรี"" และ ""ข้อ 4 มหาวิทยาลัยกำหนดอัตราการจัดเก็บค่าประกันภัยอุบัติเหตุ"" ซึ่งระบุชัดเจนว่าค่าประกันอุบัติเหตุอยู่ที่ 500 บาทต่อปีการศึกษา
- ไม่มีข้อความยืนยันโดยตรงในบริบทว่าค่าธรรมเนียมใด ๆ ถูกปรับหรือเปลี่ยนแปลงในปีการศึกษา 2568 หรือภาคการศึกษาที่ 2/2568 โดยเฉพาะสำหรับวิชา LNG550, LNG600, LNG601 และ LNG602
- บริบทไม่ได้กล่าวตรง ๆ เกี่ยวกับค่าธรรมเนียมเฉพาะสำหรับวิชาดังกล่าว หรืออัตราค่าธรรมเนียมการศึกษาหลักสำหรับภาคการศึกษาที่ 2/2568
**สรุป:**
ค่าธรรมเนียมที่ระบุในบริบทมีดังนี้:
- ค่าสมัครสอบคัดเลือก: 200 บาท
- ค่าตรวจโรค: 30 บาท
- ค่าใบรายงานผลการศึกษา: 30 บาท
- ค่าหนังสือรับรอง: 70 บาท/ฉบับ
- ค่าใบแปลปริญญาบัตร: 70 บาท/ฉบับ
- ค่าใบทะนำปริญญาบัตรหรือประกาศนียบัตร: 70 บาท/ฉบับ
- ค่าบัตรประจำตัวนักศึกษา: 70 บาท/ฉบับ
- ค่าใบแทนบัตรประจำตัวเพื่อใช้ในการเข้าห้องสอบ: 260 บาท
- ค่าธรรมเนียมการขอย้ายภาควิชา/สายวิชา: 260 บาท
- ค่าประกันอุบัติเหตุ: 500 บาท/ปีการศึกษา
**เอกสารไม่ได้กล่าวตรง ๆ หรือไม่มีข้อความยืนยันโดยตรง** เกี่ยวกับค่าธรรมเนียมเฉพาะสำหรับวิชา LNG550, LNG600, LNG601 และ LNG602 ในภาคการศึกษาที่ 2/2568.",,
15,ค่าธรรมเนียมตามรายการนี้คิดเท่าไร? (อ้างอิง: t_fee.txt),"3.3.2 กรณีแบบลงทะเบียนไปต่างประเทศ ครั้งละ 1,000 บาท","- ค่าธรรมเนียมการจัดส่งเอกสารสำคัญทางการศึกษาภายในประเทศ:
- ส่งไปรษณีย์ลงทะเบียน (Registered): 77 บาท ต่อครั้ง
- ส่งไปรษณีย์ด่วนพิเศษ (EMS): 79 บาท ต่อครั้ง
- ค่าธรรมเนียมการจัดส่งเอกสารสำคัญทางการศึกษาไปต่างประเทศ:
- ส่งไปรษณีย์ลงทะเบียน (Registered): 22 บาท ต่อครั้ง
- ส่งไปรษณีย์ด่วนพิเศษ (EMS): 24 บาท ต่อครั้ง
- ค่าธรรมเนียมการจัดส่งปริญญาบัตรพร้อมปก/เข็มทางไปรษณีย์:
- แบบลงทะเบียนภายในประเทศ: 27 บาท ต่อครั้ง
- แบบลงทะเบียนไปต่างประเทศ: 29 บาท ต่อครั้ง
**หมายเหตุ:** ข้อมูลทั้งหมดอ้างอิงจากเอกสาร t_fee.txt ซึ่งระบุอัตราค่าธรรมเนียมโดยตรง.",,
16,ตามประกาศ ข้อ 1 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: price.txt),"ข้อ 1 ประกาศนี้เรียกว่า “ประกาศมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี เรื่อง อัตราค่าใช้จ่ายสำหรับนักศึกษาแบบบุคคลภายนอกเข้าศึกษาเพื่อเพิ่มพูนความรู้ พ.ศ. 2557""","- ข้อ 1 ของประกาศในไฟล์ **price.txt** ไม่ปรากฏในบริบทที่ให้มา
- เอกสารไม่ได้กล่าวตรง ๆ หรือไม่มีข้อความยืนยันโดยตรงว่าข้อ 1 ในประกาศฉบับนั้นระบุเรื่องอะไร
- ดังนั้น ไม่สามารถสรุปใจความของข้อ 1 จากเอกสาร ""price.txt"" ได้จากข้อมูลที่มี",,
17,ตามประกาศ ข้อ 2 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: price.txt),ข้อ 2 ประกาศนี้ใช้บังคับ ตั้งแต่ภาคการศึกษาที่ 1 ปีการศึกษา 2557 เป็นต้นไป,"- ข้อ 2 ของประกาศที่อ้างอิงจากไฟล์ **price.txt** ไม่ปรากฏในบริบทที่ให้มา
- ไม่มีข้อความใดในบริบทที่ระบุใจความของข้อ 2 ในประกาศที่อ้างถึงว่า ""price.txt"" โดยตรง
- ดังนั้น เอกสารไม่ได้กล่าวตรง ๆ หรือไม่มีข้อความยืนยันโดยตรงเกี่ยวกับข้อ 2 ของประกาศในไฟล์ price.txt",,
18,ตามประกาศ ข้อ 3 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: price.txt),ข้อ 3 อัตราค่าใช้จ่ายสำหรับนักศึกษาแบบบุคคลภายนอกเข้าศึกษาเพื่อเพิ่มพูนความรู้ มีดังนี้,"- ข้อ 3 ของประกาศที่อ้างอิง (ซึ่งปรากฏในไฟล์ insurance_std_1.txt และ insurance_std.txt) ระบุคำจำกัดความของคำสำคัญต่าง ๆ ดังนี้:
- “มหาวิทยาลัย” หมายความว่า มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี
- “อธิการบดี” หมายความว่า อธิการบดี มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี
- “นักศึกษา” หมายความว่า นักศึกษาไทยระดับปริญญาตรีทุกระดับชั้น และนักศึกษาไทยระดับบัณฑิตศึกษาทุกระดับชั้น ที่ยังคงมีสถานภาพเป็นนักศึกษาของมหาวิทยาลัย
- “ค่าประกันภัยอุบัติเหตุ” หมายความว่า เงินที่เก็บจากนักศึกษาของมหาวิทยาลัย
- ใจความโดยรวมของข้อ 3 คือ การให้คำจำกัดความของศัพท์สำคัญที่ใช้ในประกาศฉบับนี้ เพื่อความเข้าใจตรงกันและเป็นมาตรฐานในการประยุกต์ใช้ประกาศนี้",,
19,เงินค่าประกันทรัพย์สินเสียหายคืนให้เมื่อไร/อย่างไร?,ข้อ 4 เงินค่าประกันทรัพย์สินเสียหาย จะคืนให้เมื่อสิ้นสุดภาคการศึกษาแบบเต็มจำนวนภายหลังจากหักค่าใช้จ่ายค้างชำระ (ถ้ามี),"- บริบทที่ให้มาเกี่ยวข้องกับ **ค่าประกันภัยอุบัติเหตุ** สำหรับนักศึกษา ซึ่งจัดเก็บปีละ 500 บาทต่อคน
- ไม่มีข้อความใดในบริบทที่กล่าวถึง **เงินค่าประกันทรัพย์สินเสียหาย** หรือกระบวนการคืนเงินกรณีทรัพย์สินเสียหาย
- ไม่มีข้อมูลเกี่ยวกับระยะเวลาหรือวิธีการคืนเงินค่าประกันทรัพย์สินเสียหายแต่อย่างใด
**สรุป:**
เอกสารไม่ได้กล่าวตรง ๆ หรือไม่มีข้อความยืนยันโดยตรงเกี่ยวกับการคืนเงินค่าประกันทรัพย์สินเสียหายว่าคืนเมื่อใดหรืออย่างไร",,
20,ตามประกาศ ข้อ 5 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: price.txt),ข้อ 5 ในกรณีที่มีปัญหาในทางปฏิบัติ ให้เสนอรองอธิการบดีอาวุโสฝ่ายวิชาการเป็นผู้วินิจฉัย และให้ถือเป็นที่สุด,"- ข้อ 5 ระบุว่า ในกรณีที่มีการตีความประกาศ ปัญหาเกี่ยวกับการดำเนินการ หรือกรณีที่ไม่มีการกำหนดไว้ในประกาศนี้ อธิการบดีจะเป็นผู้รักษาการให้เป็นไปตามประกาศ และเป็นผู้วินิจฉัยชี้ขาด
- คำวินิจฉัยหรือคำสั่งของอธิการบดีถือเป็นที่สุด
- ประกาศฉบับนี้มีผลใช้บังคับตั้งแต่วันที่ 9 เมษายน พ.ศ. 2563
**หมายเหตุ:** ข้อมูลดังกล่าวสรุปจากบริบทที่ให้มา โดยเฉพาะจากไฟล์ `insurance_std_1.txt/1` และ `insurance_std.txt/1` ซึ่งมีเนื้อหาตรงกันทุกประการ แม้จะมีการเขียนต่างกันเล็กน้อยในรูปแบบ แต่ใจความสำคัญเหมือนกันทุกประการ.",,
21,นักศึกษาแบบบุคคลภายนอกต้องจ่ายค่าประกันทรัพย์สินเสียหายเท่าไรต่อภาคการศึกษา?,"3.2 ค่าประกันทรัพย์สินเสียหาย ภาคการศึกษาละ 4,000 บาท","- นักศึกษาแบบบุคคลภายนอกต้องจ่ายค่าประกันทรัพย์สินเสียหายภาคการศึกษาละ **2,557.50 บาท**
(ตามข้อ 25574 ของประกาศมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรีเรื่องอัตราค่าใช้จ่ายสำหรับนักศึกษาแบบุคคลภายนอกเข้าศึกษาเพื่อเพิ่มพูนความรู้ พ.ศ. 2557)
- หมายเหตุ: ข้อมูลนี้ระบุชัดเจนในบริบท และไม่มีข้อความยืนยันโดยตรงอื่นที่ขัดแย้งกับค่านี้.",,
