Announcements — คำถาม (นักศึกษาจะถาม) และคำตอบที่คาดว่าจะตอบ,,,,,
,,,,,
10,ค่าธรรมเนียมจัดส่งเอกสารสำคัญทางการศึกษาทางไปรษณีย์ (ตามที่ระบุ) เท่าไร?,3.1.1 กรณีส่งไปรษณีย์ลงทะเบียน (Registered) ครั้งละ 50 บาท,,,
11,ค่าธรรมเนียมจัดส่งเอกสารสำคัญทางการศึกษาทางไปรษณีย์ (ตามที่ระบุ) เท่าไร? (อ้างอิง: t_fee.txt),3.1.2 กรณีส่งไปรษณีย์ด่วนพิเศษ (EMS) ครั้งละ 100 บาท,,,
12,ค่าธรรมเนียมจัดส่งเอกสารสำคัญทางการศึกษาทางไปรษณีย์ (ตามที่ระบุ) เท่าไร? (อ้างอิง: t_fee.txt),3.2.1 กรณีส่งไปรษณีย์ลงทะเบียน (Registered) ครั้งละ 200 บาท,,,
13,ค่าธรรมเนียมจัดส่งเอกสารสำคัญทางการศึกษาทางไปรษณีย์ (ตามที่ระบุ) เท่าไร? (อ้างอิง: t_fee.txt),"3.2.2 กรณีส่งไปรษณีย์ด่วนพิเศษ (EMS) ครั้งละ 1,200 บาท",,,
14,ค่าธรรมเนียมตามรายการนี้คิดเท่าไร?,3.3.1 กรณีแบบลงทะเบียนภายในประเทศ ครั้งละ 100 บาท,,,
15,ค่าธรรมเนียมตามรายการนี้คิดเท่าไร? (อ้างอิง: t_fee.txt),"3.3.2 กรณีแบบลงทะเบียนไปต่างประเทศ ครั้งละ 1,000 บาท",,,
16,ตามประกาศ ข้อ 1 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: price.txt),"ข้อ 1 ประกาศนี้เรียกว่า “ประกาศมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี เรื่อง อัตราค่าใช้จ่ายสำหรับนักศึกษาแบบบุคคลภายนอกเข้าศึกษาเพื่อเพิ่มพูนความรู้ พ.ศ. 2557""",,,
17,ตามประกาศ ข้อ 2 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: price.txt),ข้อ 2 ประกาศนี้ใช้บังคับ ตั้งแต่ภาคการศึกษาที่ 1 ปีการศึกษา 2557 เป็นต้นไป,,,
18,ตามประกาศ ข้อ 3 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: price.txt),ข้อ 3 อัตราค่าใช้จ่ายสำหรับนักศึกษาแบบบุคคลภายนอกเข้าศึกษาเพื่อเพิ่มพูนความรู้ มีดังนี้,,,
19,เงินค่าประกันทรัพย์สินเสียหายคืนให้เมื่อไร/อย่างไร?,ข้อ 4 เงินค่าประกันทรัพย์สินเสียหาย จะคืนให้เมื่อสิ้นสุดภาคการศึกษาแบบเต็มจำนวนภายหลังจากหักค่าใช้จ่ายค้างชำระ (ถ้ามี),,,
20,ตามประกาศ ข้อ 5 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: price.txt),ข้อ 5 ในกรณีที่มีปัญหาในทางปฏิบัติ ให้เสนอรองอธิการบดีอาวุโสฝ่ายวิชาการเป็นผู้วินิจฉัย และให้ถือเป็นที่สุด,,,
21,นักศึกษาแบบบุคคลภายนอกต้องจ่ายค่าประกันทรัพย์สินเสียหายเท่าไรต่อภาคการศึกษา?,"3.2 ค่าประกันทรัพย์สินเสียหาย ภาคการศึกษาละ 4,000 บาท",,,
22,ตามประกาศ ข้อ 1 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: fee2567update.txt),"ข้อ 1 ประกาศนี้เรียกว่า ""ประกาศมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี เรื่อง อัตราค่าบํารุงการศึกษาและค่าธรรมเนียมการศึกษาสําหรับนักศึกษาต่างชาติ ระดับปริญญาตรีและระดับบัณฑิตศึกษา พ.ศ. 2567""",,,
23,ประกาศนี้มีผลใช้บังคับตั้งแต่เมื่อไร (ตามข้อ 2)?,ข้อ 2 ประกาศนี้ให้มีผลใช้บังคับตั้งแต่ภาคการศึกษาที่ 1 ปีการศึกษา 2567 เป็นต้นไป,,,
24,ตามประกาศ ข้อ 4 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: fee2567update.txt),ข้อ 4 อัตราค่าบํารุงการศึกษาและค่าธรรมเนียมการศึกษานี้ให้ใช้สําหรับนักศึกษาต่างชาติ ระดับปริญญาตรี และระดับบัณฑิตศึกษา ที่เข้าศึกษาตั้งแต่ปีการศึกษา 2567 ถึงปีการศึกษา 2568,,,
25,ตามประกาศ ข้อ 5 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: fee2567update.txt),ข้อ 5 อัตราค่าบํารุงการศึกษาและค่าธรรมเนียมการศึกษาสําหรับนักศึกษาต่างชาติให้ใช้อัตราค่าบํารุงการศึกษาและค่าธรรมเนียมการศึกษาที่แต่ละหลักสูตรกําหนดโดยได้รับความเห็นชอบจากสภามหาวิทยาลัย,,,
26,ตามประกาศ ข้อ 6 ระบุเรื่องอะไร/มีใจความว่าอย่างไร?,ข้อ 6 ให้อธิการบดีเป็นผู้รักษาการให้เป็นไปตามประกาศนี้ ในกรณีต้องตีความหรือในกรณีมีปัญหาเกี่ยวกับการดําเนินการหรือกรณีที่ไม่ได้มีการระบุตามประกาศนี้ให้อธิการบดีเป็นผู้วินิจฉัยชี้ขาด โดยคําวินิจฉัยหรือคําสั่งของอธิการบดีถือเป็นที่สุด,,,
27,วันสุดท้ายของการชำระเงินค่าลงทะเบียนคือวันไหน?,วันสุดท้ายของการชำระเงินค่าลงทะเบียน: พฤ.8 ม.ค. 2569,,,
28,เข้าสู่ระบบลงทะเบียนเรียนได้ที่ลิงก์ไหน?,🔸เข้าสู่ระบบลงทะเบียนเรียน https://sinfo.kmutt.ac.th/,,,
29,ระบบลงทะเบียนเปิดให้บริการเวลาใดถึงเวลาใด?,ระบบเปิดให้บริการ เวลา 07:00 – 23:00 น.,,,
30,ตามประกาศ ระบุรายละเอียดนี้ว่าอย่างไร?,กำหนดการลดรายวิชา โมดูล 5 สัปดาห์ ช่วงที่ 1 ภาคการศึกษาที่ 2/2568,,,
,,,,,
,,,,,
Regulations — คำถาม (นักศึกษาจะถาม) และคำตอบที่คาดว่าจะตอบ,,,,,
,,,,,
ลำดับ,คำถาม,คำตอบที่คาดว่าจะตอบ,"คำตอบที่ระบบตอบ
รอบที่1","คำตอบที่ระบบตอบ
รอบที่2","คำตอบที่ระบบตอบ
รอบที่3"
1,ข้อ 2 มีใจความสำคัญว่าอย่างไร?,ข้อ 2 ระเบียนี้ให้ใช้บังคับตั้งแต่วันถัดจากวันประกาศเป็นต้นไป,,,
2,ข้อ 3 มีใจความสำคัญว่าอย่างไร?,ข้อ 3 ให้ยกเลิกข้อบังคับ ระเบียบ หรือประกาศว่าด้วยการสอบของมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี และของคณะทุกฉบับ ซึ่งใช้บังคับอยู่ก่อนการประกาศใช้ระเบียบนี้และให้ใช้ระเบียบนี้แทน,,,
3,ข้อ 4 มีใจความสำคัญว่าอย่างไร?,ข้อ 4 ข้อความในระเบียบ มติ ประกาศ หรือคำสั่งอื่นใดซึ่งขัดหรือแย้งกับระเบียบนี้ ให้ใช้ระเบียบนี้แทน,,,
4,ข้อ 6 มีใจความสำคัญว่าอย่างไร?,ข้อ 6 ให้อธิการบดีเป็นผู้รักษาการให้เป็นไปตามระเบียบนี้ และให้มีอำนาจออกประกาศ ข้อกำหนด หรือหลักเกณฑ์ เพื่อปฏิบัติให้เป็นไปตามระเบียบนี้ ในกรณีที่มีข้อขัดหรือแย้งหรือกรณีที่มิได้กำหนดไว้ในระเบียบนี้ ให้อธิการบดี เป็นผู้มีอำนาจสั่งและเป็นผู้วินิจฉัยชี้ขาด คำสั่งหรือคำวินิจฉัยของอธิการบดีถือเป็นที่สุด,,,
5,ระเบียบ ข้อ 7 กำหนดให้นักศึกษาต้องทำอะไร?,ข้อ 7 นักศึกษาต้องแต่งกายด้วยชุดนักศึกษาที่ถูกต้องตามข้อบังคับมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี ว่าด้วยเครื่องแต่งกายนักศึกษา,,,
6,ระเบียบ ข้อ 8 กำหนดให้นักศึกษาต้องทำอะไร?,ข้อ 8 นักศึกษาต้องนำบัตรนักศึกษา หรือใบแทนบัตรประจำตัวนักศึกษาวางไว้บนโต๊ะที่นั่งสอบหรือแสดงต่อกรรมการคุมสอบ หากไม่มีบัตรนักศึกษาหรือใบทแทนบัตรประจำตัวนักศึกษาจะไม่ได้รับอนุญาตให้เข้าห้องสอบ,,,
7,ระเบียบ ข้อ 9 ห้ามอะไร?,ข้อ 9 ห้ามนักศึกษาเปิดเครื่องมือสื่อสารและอุปกรณ์อิเล็กทรอนิกส์ทุกชนิดในห้องสอบ ยกเว้นอุปกรณ์พิเศษทางการแพทย์เพื่อช่วยในการดำรงชีวิต เช่น เครื่องช่วยฟัง,,,
8,ระเบียบ ข้อ 10 ห้ามอะไร?,ข้อ 10 ห้ามนักศึกษานำเอกสาร ไม้บรรทัดที่มีสูตร อุปกรณ์หรือสิ่งอื่นใดที่มีสูตรการคำนวณเข้าห้องสอบ เว้นแต่อาจารย์ผู้สอนได้อนุญาตไว้ในข้อสอบของรายวิชานั้น,,,
9,ระเบียบ ข้อ 11 ห้ามอะไร?,ข้อ 11 ห้ามนักศึกษารนำเครื่องคำนวณ หรืออุปกรณ์อิเล็กทรอนิกส์อื่นใดที่มีคุณสมบัติคล้ายคลึงกันเข้าห้องสอบ เว้นแต่อาจารย์ประจำวิชาได้อนุญาตไว้ในข้อสอบรายวิชานั้น ให้นำเข้าห้องสอบได้เฉพาะรุ่นที่มหาวิทยาลัยกำหนด โดยนักศึกษาต้องนำเครื่องคำนวณไปให้สำนักงานทะเบียนนักศึกษาตรวจสอบและติดสติกเกอร์ให้เรียบร้อย ทั้งนี้ อนุญาตให้นักศึกษานำเครื่องคำนวณเข้าห้องสอบได้เพียงคนละ 1 เครื่อง เท่านั้น,,,
10,ระเบียบ ข้อ 12 กำหนดให้นักศึกษาต้องทำอะไร?,ข้อ 12 นักศึกษาต้องเข้าห้องสอบถามเวลาและสถานที่ที่มหาวิทยาลัยกำหนด กรณีที่นักศึกษามาถึงห้องสอบสายเกินกว่าสิบห้านาที แต่ไม่เกินหกสิบนาที ให้นักศึกษายื่นคำร้องขอเข้าห้องสอบต่อประธานกรรมการจัดการสอบ หรือผู้ที่ประธานกรรมการมอบหมาย เพื่อพิจารณาอนุญาตก่อนเข้าห้องสอบ หากเกินกว่าหกสิบนาทีให้ถือว่าหมดสิทธิ์เข้าห้องสอบ,,,
11,ข้อ 14 มีใจความสำคัญว่าอย่างไร?,ข้อ 14 ไมออนุญาตให้นักศึกษายืม หรือแลกเปลี่ยนสิ่งของ อุปกรณ์และเอกสารใดๆ ในระหว่างการสอบ,,,
12,ข้อ 15 มีใจความสำคัญว่าอย่างไร?,ข้อ 15 นักศึกษาจะออกหากห้องสอบได้ต่อเมื่อการสอบผ่านไปแล้วหกสิบนาทีนับตั้งแต่กรรมการเริ่มให้ทำข้อสอบ,,,
13,ระเบียบ ข้อ 16 กำหนดให้นักศึกษาต้องทำอะไร?,ข้อ 16 การออกจากห้องสอบชั่วคราว จะต้องได้รับอนุญาตจากกรรมการคุมสอบ โดยนักศึกษาจะต้องไม่นำเครื่องมือสื่อสารติดตัวไปด้วยและให้อยู่ในความดูแลของกรรมการคุมสอบ,,,
14,ข้อ 18 มีใจความสำคัญว่าอย่างไร?,ข้อ 18 เมื่อนักศึกษาออกจากห้องสอบแล้ว ให้นักศึกษาออกจากระบบริเวณห้องสอบทันทีและไม่ทำการใดๆ อันเป็นการรบกวนผู้เข้าสอบคนอื่นที่กำลังสอบอยู่,,,
15,ข้อ 19 มีใจความสำคัญว่าอย่างไร?,ข้อ 19 ให้คณะกรรมการกลาง มีวาระการดำรงตำแหน่งสี่ปี ประกอบด้วย,,,
16,ข้อ 20 มีใจความสำคัญว่าอย่างไร?,ข้อ 20 ให้คณะกรรมการกลาง มีอำนาจหน้าที่ ดังต่อไปนี้,,,
17,ข้อ 21 มีใจความสำคัญว่าอย่างไร?,ข้อ 21 นักศึกษากระทำการในกรณีต่อไปนี้ ให้ถือเป็นการกระทำโดยมีเจตนาทุจริตการสอบ,,,
18,บทลงโทษ/อำนาจลงโทษในข้อ 22 ระบุว่าอย่างไร?,ข้อ 22 ให้คณะกรรมกรกลางมีอำนาจพิจารณาโทษนักศึกษาที่ทำการทุจริตในการสอบ สถานใดสถานหนึ่งหรือหลายสถานก็ได้ ดังนี้,,,
19,ข้อ 23 มีใจความสำคัญว่าอย่างไร?,ข้อ 23 นักศึกษากระทำการในกรณีต่อไปนี้ ไม่ถือเป็นการทุจริตในการสอบแต่ให้ถือเป็นการไม่ปฏิบัติตามระเบียบมหาวิทยาลัยฯ ว่าด้วยการสอบ,,,
20,บทลงโทษ/อำนาจลงโทษในข้อ 24 ระบุว่าอย่างไร?,ข้อ 24 ในการทดสอบย่อย หรือการกระทำอื่นใดที่ไม่เป็นไปตามข้อตกลงกับอาจารย์ผู้สอนในรายวิชาใด ให้อาจารย์ ผู้สอนเป็นผู้พิจารณาลงโทษอย่างใดอย่างหนึ่งหรือหลายอย่าง โดยความเห็นชอบของหัวหน้าภาควิชา ประธานหลักสูตร ประธานสายวิชา หัวหน้าสาขาวิชา ผู้กำกับและดูแลภาควิชาของเจ้าของรายวิชา ฯลฯ และรายงานให้คณะกรรมการวินัยนักศึกษาทราบ ดังต่อไปนี้,,,
21,บทลงโทษ/อำนาจลงโทษในข้อ 25 ระบุว่าอย่างไร?,ข้อ 25 ในกรณีที่เกิดการกระทำการทุจริตหรือการกระทำที่ไม่ปฏิบัติตามระเบียบมหาวิทยาลัยฯ ว่าด้วย การสอบ รวมทั้งกระทำการที่ส่อไส่ในทางทุจริตในการสอบอื่น นอกจากที่ระบุไว้แล้ว หรือมีการกล่าวหาในภายหลัง การสอบเสร็จสิ้นแล้วว่าได้เกิดการกระทำการทุจริตขึ้นในการสอบครั้งใด ให้คณะกรรมการกลางเป็นผู้มีอำนาจ พิจารณาและลงโทษนักศึกษาที่กระทำความผิดในข้อ 21 และข้อ 23,,,
22,การอุทธรณ์คำสั่งลงโทษทำอย่างไรตามข้อ 26?,ข้อ 26 นักศึกษาผู้ถูกสั่งลงโทษตามระเบียบนี้ ผู้นั้นมีสิทธิอุทธรณ์ได้ตามหลักเกณฑ์และวิธีการที่กำหนดไว้ใน ระเบียบนี้,,,
23,ระเบียบ ข้อ 27 กำหนดให้นักศึกษาต้องทำอะไร?,ข้อ 27 การอุทธรณ์ต้องทำเป็นหนังสือแสดงข้อเท็จจริงและเหตุผลในการอุทธรณ์ให้เห็นว่าตนเองถูกลงโทษโดยไม่ ถูกต้อง ไม่เหมาะสมหรือไม่เป็นธรรมอย่างใด พร้อมลงลายมือชื่อของผู้อุทธรณ์,,,
24,การอุทธรณ์คำสั่งลงโทษทำอย่างไรตามข้อ 28?,ข้อ 28 นักศึกษาที่ถูกสั่งลงโทษตามระเบียนนี้อาจอุทธรณ์ได้ตามหลักเกณฑ์ดังนี้ 28.1 ให้ยื่นอุทธรณ์ต่ออธิการบดีภายในสิบห้าวัน นับแต่วันได้รับแจ้งคำสั่งลงโทษ 28.2 การอุทธรณ์คำสั่งลงโทษให้อุทธรณ์ได้สำหรับตนเองเท่านั้น จะอุทธรณ์แทนคนอื่นหรือมอบหมาย ให้คนอื่นอุทธรณ์แทนไม่ได้,,,
25,ระเบียบ ข้อ 29 กำหนดให้นักศึกษาต้องทำอะไร?,ข้อ 29 ให้อธิการบดีมีอำนาจบิจารณาวินิจฉัยอุทธรณ์หรือแต่งตั้งคณะกรรมการอุทธรณ์ขึ้นชุดหนึ่งเพื่อพิจารณา วินิจฉัยคำอุทธรณ์ กรณีที่เห็นด้วยกับคำอุทธรณ์ไม่ว่าทั้งหมดหรือบางส่วนก็ให้แก้ไขเปลี่ยนแปลงคำสั่งให้ ถูกต้องเหมาะสม แต่หากเห็นว่าคำสั่งลงโทษถูกต้องเหมาะสมแล้ว ให้ยกคำอุทธรณ์,,,
26,การอุทธรณ์คำสั่งลงโทษทำอย่างไรตามข้อ 30?,ข้อ 30 ให้มีคณะกรรมการอุทธรณ์คณะหนึ่งจำนวนไม่น้อยกว่าห้าคน ประกอบด้วย รองอธิการบดี 1 คน เป็นประธานกรรมการ รองคณบดี 3 คน เป็นกรรมการ และนิติกร 1 คน เป็นกรรมการและเลขานุการ โดยให้มีวาระการดำรงตำแหน่งสองปี เมื่อคณะกรรมการอุทธรณ์ได้พิจารณาอุทธรณ์แล้วมีมติประการใด ให้รายงานต่ออธิการบดีและ แจ้งผู้อุทธรณ์ทราบโดยเร็ว,,,
27,ข้อ 2 มีใจความสำคัญว่าอย่างไร?,ข้อ 2 ข้อบังคับนี้ให้ใช้บังคับตั้งแต่วันถัดจากวันประกาศเป็นต้นไป,,,
28,ข้อ 3 มีใจความสำคัญว่าอย่างไร?,ข้อ 3 ให้ยกเลิกข้อบังคับมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี ว่าด้วย วินัยนักศึกษา พ.ศ. 2546 บรรดา,,,
29,ข้อ 5 มีใจความสำคัญว่าอย่างไร?,ข้อ 5 ให้อธิการบดีรักษาการตามข้อบังคับนี้ และให้มีอำนาจตีความ วินิจฉัยปัญหาเกี่ยวกับการปฏิบัติตาม,,,
30,ระเบียบ ข้อ 6 กำหนดให้นักศึกษาต้องทำอะไร?,ข้อ 6 นักศึกษาและผู้เรียนรู้ต้องปฏิบัติตามข้อบังคับ ระเบียบ คำสั่ง ประกาศ ของมหาวิทยาลัยทุกประการ,,,
,,,,,
,,,,,
Curriculum — คำถาม (นักศึกษาจะถาม) และคำตอบที่คาดว่าจะตอบ,,,,,
,,,,,
ลำดับ,คำถาม,คำตอบที่คาดว่าจะตอบ,"คำตอบที่ระบบตอบ
รอบที่1","คำตอบที่ระบบตอบ
รอบที่2","คำตอบที่ระบบตอบ
รอบที่3"
1,หมวดวิชาศึกษาทั่วไปกำหนดกี่หน่วยกิต?,หมวดวิชาศึกษาทั่วไป 31 หน่วยกิต,,,
2,หมวดวิชาเฉพาะกำหนดกี่หน่วยกิต?,หมวดวิชาเฉพาะ 93 หน่วยกิต,,,
3,หลักสูตรวิศวกรรมคอมพิวเตอร์กำหนดหน่วยกิตรวมเท่าไร?,จำนวนหน่วยกิตรวมตลอดหลักสูตร 130 หน่วยกิต,,,
4,วิชา CPE 100 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 100 การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร 3 หน่วยกิต (2-2-6) — Computer Programming for Engineers,,,
5,วิชา CPE 101 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 101 เปิดโลกวิศวกรรมศาสตร์ 3 หน่วยกิต (2-2-6) — Engineering Exploration,,,
6,วิชา CPE 111 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 111 คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์ 3 หน่วยกิต (2-2-6) — Discrete Mathematics for Computer Engineers,,,
7,วิชา LNG 120 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,LNG 120 ภาษาอังกฤษทั่วไป 3 หน่วยกิต (3-0-6) — General English,,,
8,วิชา MTH 101 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,MTH 101 คณิตศาสตร์ 1 3 หน่วยกิต (3-0-6) — Mathematics I,,,
9,วิชา PHY 103 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,PHY 103 ฟิสิกส์ทั่วไปสำหรับนักศึกษาวิศวกรรมศาสตร์ 1 3 หน่วยกิต (3-0-6) — General Physics for Engineering Student I,,,
10,วิชา CPE 112 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 112 การเขียนโปรแกรมด้วยโครงสร้างข้อมูล 3 หน่วยกิต (2-2-6) — Programming with Data Structures,,,
11,วิชา CPE 121 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 121 พื้นฐานวงจรไฟฟ้าและอิเล็กทรอนิกส์ 3 หน่วยกิต (2-2-6) — Basic Circuits and Electronics,,,
12,วิชา GEN 121 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,GEN 121 ทักษะการเรียนรู้และการแก้ปัญหา 3 หน่วยกิต (3-0-6) — Learning and Problem Solving Skills,,,
13,วิชา LNG 220 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,LNG 220 ภาษาอังกฤษเชิงวิชาการ 3 หน่วยกิต (3-0-6) — Academic English,,,
14,วิชา MTH 102 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,MTH 102 คณิตศาสตร์ 2 3 หน่วยกิต (3-0-6) — Mathematics II,,,
15,วิชา PHY 104 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,PHY 104 ฟิสิกส์ทั่วไปสำหรับนักศึกษาวิศวกรรมศาสตร์ 2 3 หน่วยกิต (3-0-6) — General Physics for Engineering Student II,,,
16,วิชา CPE 222 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 222 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ 3 หน่วยกิต (2-2-6) — Digital Electronics and Logic Design,,,
17,วิชา CPE 231 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 231 ขั้นตอนวิธี 3 หน่วยกิต (3-0-6) — Algorithms,,,
18,วิชา GEN 231 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,GEN 231 มหัศจรรย์แห่งความคิด 3 หน่วยกิต (3-0-6) — Miracle of Thinking,,,
19,วิชา LNG 223 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,LNG 223 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน 3 หน่วยกิต (3-0-6) — English for Workplace Communication,,,
20,วิชา MTH 234 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,MTH 234 พีชคณิตเชิงเส้น 3 หน่วยกิต (3-0-6) — Linear Algebra,,,
21,วิชา CHM 103 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CHM 103 เคมีพื้นฐาน 3 หน่วยกิต (3-0-6) — Fundamental Chemistry,,,
22,วิชา CPE 223 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 223 สถาปัตยกรรมคอมพิวเตอร์ 3 หน่วยกิต (2-2-6) — Computer Architectures,,,
23,วิชา CPE 232 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 232 แบบจำลองข้อมูล 3 หน่วยกิต (2-2-6) — Data Models,,,
24,วิชา CPE 241 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 241 ระบบฐานข้อมูล 3 หน่วยกิต (2-2-6) — Database Systems,,,
25,วิชา GEN 111 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,GEN 111 มนุษย์กับหลักจริยศาสตร์เพื่อการดำเนินชีวิต 3 หน่วยกิต (3-0-6) — Man and Ethics of Living,,,
26,วิชา STA 302 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,STA 302 สถิติสำหรับวิศวกร 3 หน่วยกิต (3-0-6) — Statistics for Engineers,,,
27,วิชา CPE 333 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 333 ระบบปฏิบัติการ 3 หน่วยกิต (3-0-6) — Operating Systems,,,
28,วิชา CPE 334 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 334 วิศวกรรมซอฟต์แวร์ 3 หน่วยกิต (3-0-6) — Software Engineering,,,
