id,source_id,domain,difficulty,question_type,expected_answerable,question,expected_source,reference_answer,expected_answer_keywords,scenario_type,conversation_id,turn_index,depends_on_id
qb_011,,announcements,medium,procedural,True,ถ้าจะจัดการเรื่อง กำหนดการชำระค่าเทอม ต้องเริ่มจากตรงไหน,announcement;calendar,,ประกาศ,standard,,,
qb_012,,regulations,hard,multi-hop,True,"ถ้า ""เข้าสอบสายเกิน 15 นาทีแต่ไม่เกิน 60 นาที"" แล้วมีข้อยกเว้น ต้องติดต่อใครและทำเอกสารอะไรบ้าง",rule_exam;regulation,,60;นาที;15;ระเบียบการสอบ,standard,,,
qb_013,,announcements,medium,verification,True,ช่วยเช็กให้หน่อยว่า ช่วงสอบกลางภาคและปลายภาค มีประกาศใหม่แล้วหรือยัง,announcement;calendar,,ประกาศ,standard,,,
qb_014,,regulations,medium,verification,True,"ช่วยยืนยันให้หน่อยว่า ""อยากทราบว่าต้องผ่านไปกี่นาทีถึงออกห้องสอบได้"" ทำได้หรือไม่ได้",rule_exam;regulation,,ออกจากห้องสอบ;อนุญาต;ระเบียบการสอบ,standard,,,
qb_015,,curriculum,easy,factual,True,CPE 331 เป็นวิชาเกี่ยวกับอะไรครับ ช่วยสรุปให้เข้าใจง่ายหน่อย,foe10;curriculum,จากเอกสารหลักสูตรที่ใช้ประเมิน ยังไม่พบคำอธิบายรายวิชา CPE 331 แบบละเอียดในไฟล์ที่ดึงได้ จึงควรอ้างอิงเอกสารคำอธิบายรายวิชาฉบับล่าสุดของภาควิชาเพื่อยืนยันรายละเอียด,CPE 331;คำอธิบายรายวิชา;หลักสูตรล่าสุด,standard,,,
qb_016,,general,easy,unanswerable,False,ช่วยออกเอกสารราชการย้อนหลังโดยไม่ผ่านขั้นตอนได้ไหม,,,ไม่สามารถ;ไม่พบข้อมูลยืนยัน,standard,,,
qb_017,,announcements,medium,verification,True,ช่วยเช็กให้หน่อยว่า กำหนดการลงทะเบียนล่าช้า มีประกาศใหม่แล้วหรือยัง,announcement;calendar,,ประกาศ,standard,,,
qb_018,,curriculum,medium,procedural,True,ถ้าจะลง CPE 322 ต้องผ่านวิชาอะไรมาก่อนบ้าง,foe10;curriculum,,CPE 322;วิชาบังคับก่อน,standard,,,
qb_019,,general,easy,unanswerable,False,ขอให้คุณตัดสินแทนอาจารย์ว่าใครจะได้เกรดอะไรได้ไหม,,,ไม่สามารถ;ไม่พบข้อมูลยืนยัน,standard,,,
qb_020,,general,easy,unanswerable,False,ช่วยยืนยันผลสอบล่วงหน้าก่อนประกาศจริงได้ไหม,,,ไม่สามารถ;ไม่พบข้อมูลยืนยัน,standard,,,
qb_021,,regulations,medium,verification,True,"ช่วยยืนยันให้หน่อยว่า ""ต้องการทราบขั้นตอนแจ้งกรณีมาสายเข้าสอบ"" ทำได้หรือไม่ได้",rule_exam;regulation,,ระเบียบการสอบ,standard,,,
qb_022,,regulations,medium,procedural,True,"ถ้าเกิดเคส ""เข้าสอบสายเกิน 60 นาที"" ขอขั้นตอนแบบทีละข้อหน่อย",rule_exam;regulation,,60;นาที;ระเบียบการสอบ,standard,,,
qb_023,,curriculum,easy,factual,True,CPE 121 เป็นวิชาเกี่ยวกับอะไรครับ ช่วยสรุปให้เข้าใจง่ายหน่อย,foe10;curriculum,"CPE 121 คือรายวิชา ""พื้นฐานวงจรไฟฟ้าและอิเล็กทรอนิกส์"" ตามเอกสารหลักสูตร",CPE 121;พื้นฐานวงจรไฟฟ้าและอิเล็กทรอนิกส์,standard,,,
qb_024,,curriculum,medium,procedural,True,ถ้าจะลง CPE 231 ต้องผ่านวิชาอะไรมาก่อนบ้าง,foe10;curriculum,,CPE 231;วิชาบังคับก่อน,standard,,,
qb_025,,curriculum,hard,multi-hop,True,ถ้าผมจะวางแผนเรียนให้จบตรงเวลา CPE 324 ควรลงช่วงไหนของแผนเรียน,foe10;curriculum,,CPE 324,standard,,,
qb_026,,curriculum,medium,procedural,True,ถ้าจะลง CPE 313 ต้องผ่านวิชาอะไรมาก่อนบ้าง,foe10;curriculum,,CPE 313;วิชาบังคับก่อน,standard,,,
qb_027,,regulations,medium,procedural,True,"ถ้าเกิดเคส ""เกิดเหตุฉุกเฉินระหว่างสอบ"" ขอขั้นตอนแบบทีละข้อหน่อย",rule_exam;regulation,,ระเบียบการสอบ,standard,,,
qb_028,,announcements,hard,multi-hop,True,ถ้าเลยกำหนดเรื่อง ขั้นตอนขอหนังสือรับรองนักศึกษา ไปแล้ว ยังมีทางแก้หรือยื่นคำร้องอะไรได้บ้าง,announcement;calendar,,ประกาศ,standard,,,
qb_029,,curriculum,medium,factual,True,CPE 100 มีกี่หน่วยกิต แล้วรูปแบบชั่วโมงเรียนเป็นแบบไหน,foe10;curriculum,CPE 100 มี 3 หน่วยกิต รูปแบบชั่วโมง 3(2-2-6),CPE 100;3;หน่วยกิต;2-2-6;รูปแบบชั่วโมง,standard,,,
qb_030,,curriculum,medium,procedural,True,ถ้าจะลง CPE 314 ต้องผ่านวิชาอะไรมาก่อนบ้าง,foe10;curriculum,,CPE 314;วิชาบังคับก่อน,standard,,,
qb_031,,announcements,hard,multi-hop,True,ถ้าเลยกำหนดเรื่อง ขั้นตอนขอทรานสคริปต์ออนไลน์ ไปแล้ว ยังมีทางแก้หรือยื่นคำร้องอะไรได้บ้าง,announcement;calendar,,ประกาศ,standard,,,
qb_032,,announcements,easy,factual,True,ขออัปเดต ประกาศหยุดเรียน/เลื่อนการเรียนการสอน ล่าสุดหน่อยครับ,announcement;calendar,โปรดตรวจสอบประกาศล่าสุดจากช่องทางทางการของมหาวิทยาลัย/คณะเพื่อความถูกต้องของข้อมูล,ประกาศ;ประกาศล่าสุด,standard,,,
qb_033,,regulations,medium,procedural,True,"ถ้าเกิดเคส ""ขอออกจากห้องสอบชั่วคราวระหว่างทำข้อสอบ"" ขอขั้นตอนแบบทีละข้อหน่อย",rule_exam;regulation,,ออกจากห้องสอบ;อนุญาต;ระเบียบการสอบ,standard,,,
qb_034,,regulations,easy,factual,True,"ระเบียบสอบกรณี ""ถูกกรรมการคุมสอบตักเตือนเรื่องอุปกรณ์ต้องห้าม"" ต้องทำยังไง",rule_exam;regulation,กรณีอุปกรณ์ต้องห้ามในห้องสอบ ให้แจ้งกรรมการคุมสอบทันทีและปฏิบัติตามระเบียบการสอบที่กำหนด,ระเบียบการสอบ;อุปกรณ์ต้องห้าม;โทรศัพท์;กรรมการคุมสอบ,standard,,,
qb_035,,announcements,medium,procedural,True,ถ้าจะจัดการเรื่อง ช่วงสอบกลางภาคและปลายภาค ต้องเริ่มจากตรงไหน,announcement;calendar,,ประกาศ,standard,,,
qb_036,,announcements,medium,verification,True,ช่วยเช็กให้หน่อยว่า ขั้นตอนขอหนังสือรับรองนักศึกษา มีประกาศใหม่แล้วหรือยัง,announcement;calendar,,ประกาศ,standard,,,
qb_037,,announcements,medium,procedural,True,ถ้าจะจัดการเรื่อง ช่วง add/drop ต้องเริ่มจากตรงไหน,announcement;calendar,,ประกาศ,standard,,,
qb_038,,regulations,hard,procedural,True,"กรณี ""ต้องการใช้งานเครื่องคิดเลขในห้องสอบ"" ถ้าโดนปฏิเสธหน้างาน ควรดำเนินการต่อยังไง",rule_exam;regulation,,เครื่องคิดเลข;อนุญาต;ระเบียบการสอบ,standard,,,
qb_039,,announcements,easy,factual,True,ขออัปเดต ขั้นตอนขอหนังสือรับรองนักศึกษา ล่าสุดหน่อยครับ,announcement;calendar,การขอหนังสือรับรองนักศึกษาให้ยื่นผ่านช่องทางของงานทะเบียนตามประกาศขั้นตอนล่าสุด,ประกาศ;หนังสือรับรองนักศึกษา;งานทะเบียน;ขั้นตอน,standard,,,
qb_040,,announcements,easy,factual,True,ขออัปเดต ค่าประกันอุบัติเหตุนักศึกษา ล่าสุดหน่อยครับ,announcement;calendar,ค่าประกันภัยอุบัติเหตุสำหรับนักศึกษาเก็บปีการศึกษาละ 500 บาทต่อคน,500;บาท;ประกันอุบัติเหตุ;ประกาศ,standard,,,
qb_041,,curriculum,medium,procedural,True,ถ้าจะลง CPE 342 ต้องผ่านวิชาอะไรมาก่อนบ้าง,foe10;curriculum,,CPE 342;วิชาบังคับก่อน,standard,,,
qb_042,,regulations,hard,multi-hop,True,"ถ้า ""ต้องการทราบขั้นตอนแจ้งกรณีมาสายเข้าสอบ"" แล้วมีข้อยกเว้น ต้องติดต่อใครและทำเอกสารอะไรบ้าง",rule_exam;regulation,,ระเบียบการสอบ,standard,,,
qb_043,,regulations,easy,factual,True,"ระเบียบสอบกรณี ""สงสัยเรื่องบทลงโทษกรณีทุจริตสอบ"" ต้องทำยังไง",rule_exam;regulation,กรณีทุจริตสอบให้ดำเนินการตามขั้นตอนสอบสวนและบทลงโทษตามระเบียบการสอบของมหาวิทยาลัย,ระเบียบการสอบ;ทุจริตสอบ;บทลงโทษ,standard,,,
qb_044,,announcements,easy,factual,True,ขออัปเดต ช่องทางติดตามประกาศล่าสุดของภาควิชา ล่าสุดหน่อยครับ,announcement;calendar,ติดตามประกาศล่าสุดได้จากเว็บไซต์/ช่องทางทางการของภาควิชา คณะ และระบบประกาศของมหาวิทยาลัย,ประกาศ;ช่องทางประกาศ;ภาควิชา;เว็บไซต์ทางการ,standard,,,
qb_045,,curriculum,medium,factual,True,CPE 332 มีกี่หน่วยกิต แล้วรูปแบบชั่วโมงเรียนเป็นแบบไหน,foe10;curriculum,จากไฟล์หลักสูตรที่ใช้ประเมิน ยังไม่พบบรรทัดข้อมูลหน่วยกิต/รูปแบบชั่วโมงของ CPE 332 อย่างชัดเจน จึงควรตรวจสอบจากเล่มคำอธิบายรายวิชาฉบับล่าสุด,CPE 332;หน่วยกิต;รูปแบบชั่วโมง;ตรวจสอบเอกสารล่าสุด,standard,,,
qb_046,,announcements,medium,procedural,True,ถ้าจะจัดการเรื่อง ขั้นตอนขอทรานสคริปต์ออนไลน์ ต้องเริ่มจากตรงไหน,announcement;calendar,,ประกาศ,standard,,,
qb_047,,regulations,hard,multi-hop,True,"ถ้า ""เผลอพกโทรศัพท์เข้าห้องสอบ"" แล้วมีข้อยกเว้น ต้องติดต่อใครและทำเอกสารอะไรบ้าง",rule_exam;regulation,,ระเบียบการสอบ,standard,,,
qb_048,,curriculum,hard,multi-hop,True,ถ้าผมจะวางแผนเรียนให้จบตรงเวลา CPE 313 ควรลงช่วงไหนของแผนเรียน,foe10;curriculum,,CPE 313,standard,,,
qb_049,,regulations,easy,factual,True,"ระเบียบสอบกรณี ""เผลอพกโทรศัพท์เข้าห้องสอบ"" ต้องทำยังไง",rule_exam;regulation,กรณีอุปกรณ์ต้องห้ามในห้องสอบ ให้แจ้งกรรมการคุมสอบทันทีและปฏิบัติตามระเบียบการสอบที่กำหนด,ระเบียบการสอบ;อุปกรณ์ต้องห้าม;โทรศัพท์;กรรมการคุมสอบ,standard,,,
qb_050,,general,easy,unanswerable,False,ช่วยล็อกที่นั่งสอบให้ผมอยู่แถวหน้าได้ไหม,,,ไม่สามารถ;ไม่พบข้อมูลยืนยัน,standard,,,
qb_051,,announcements,medium,verification,True,ช่วยเช็กให้หน่อยว่า กำหนดการลงทะเบียนล่าช้า มีประกาศใหม่แล้วหรือยัง,announcement;calendar,,ประกาศ,standard,,,
qb_052,,general,easy,unanswerable,False,ขอเบอร์มือถือส่วนตัวของอาจารย์ประจำวิชาได้ไหม,,,ไม่สามารถ;ไม่พบข้อมูลยืนยัน,standard,,,
qb_053,,regulations,easy,factual,True,"ระเบียบสอบกรณี ""เข้าสอบสายเกิน 60 นาที"" ต้องทำยังไง",rule_exam;regulation,ตามระเบียบการสอบ ผู้เข้าสอบสายเกิน 60 นาทีจะหมดสิทธิ์เข้าห้องสอบ,60;นาที;หมดสิทธิ์;ห้องสอบ;ระเบียบการสอบ,standard,,,
qb_054,,announcements,hard,multi-hop,True,ถ้าเลยกำหนดเรื่อง ค่าธรรมเนียมจัดส่งเอกสารทางไปรษณีย์ ไปแล้ว ยังมีทางแก้หรือยื่นคำร้องอะไรได้บ้าง,announcement;calendar,,ค่าธรรมเนียม;ไปรษณีย์;ประกาศ,standard,,,
qb_055,,announcements,hard,multi-hop,True,ถ้าเลยกำหนดเรื่อง วันสุดท้ายถอนวิชาแบบติด W ไปแล้ว ยังมีทางแก้หรือยื่นคำร้องอะไรได้บ้าง,announcement;calendar,,ประกาศ,standard,,,
qb_056,,curriculum,hard,multi-hop,True,ถ้าผมจะวางแผนเรียนให้จบตรงเวลา CPE 100 ควรลงช่วงไหนของแผนเรียน,foe10;curriculum,,CPE 100,standard,,,
qb_057,,announcements,medium,verification,True,ช่วยเช็กให้หน่อยว่า กำหนดการลงทะเบียนล่าช้า มีประกาศใหม่แล้วหรือยัง,announcement;calendar,,ประกาศ,standard,,,
qb_058,,regulations,hard,multi-hop,True,"ถ้า ""อยากทราบว่าต้องผ่านไปกี่นาทีถึงออกห้องสอบได้"" แล้วมีข้อยกเว้น ต้องติดต่อใครและทำเอกสารอะไรบ้าง",rule_exam;regulation,,ออกจากห้องสอบ;อนุญาต;ระเบียบการสอบ,standard,,,
qb_059,,curriculum,easy,factual,True,CPE 332 เป็นวิชาเกี่ยวกับอะไรครับ ช่วยสรุปให้เข้าใจง่ายหน่อย,foe10;curriculum,จากเอกสารหลักสูตรที่ใช้ประเมิน ยังไม่พบคำอธิบายรายวิชา CPE 332 แบบละเอียดในไฟล์ที่ดึงได้ จึงควรอ้างอิงเอกสารคำอธิบายรายวิชาฉบับล่าสุดของภาควิชาเพื่อยืนยันรายละเอียด,CPE 332;คำอธิบายรายวิชา;หลักสูตรล่าสุด,standard,,,
qb_060,,regulations,medium,procedural,True,"ถ้าเกิดเคส ""ต้องการใช้งานเครื่องคิดเลขในห้องสอบ"" ขอขั้นตอนแบบทีละข้อหน่อย",rule_exam;regulation,,เครื่องคิดเลข;อนุญาต;ระเบียบการสอบ,standard,,,
qb_061,,curriculum,easy,factual,True,CPE 241 เป็นวิชาเกี่ยวกับอะไรครับ ช่วยสรุปให้เข้าใจง่ายหน่อย,foe10;curriculum,"CPE 241 คือรายวิชา ""ระบบฐานข้อมูล"" ตามเอกสารหลักสูตร",CPE 241;ระบบฐานข้อมูล,standard,,,
qb_062,,curriculum,hard,multi-hop,True,ถ้าผมจะวางแผนเรียนให้จบตรงเวลา CPE 332 ควรลงช่วงไหนของแผนเรียน,foe10;curriculum,,CPE 332,standard,,,
qb_063,,curriculum,easy,factual,True,CPE 111 เป็นวิชาเกี่ยวกับอะไรครับ ช่วยสรุปให้เข้าใจง่ายหน่อย,foe10;curriculum,"CPE 111 คือรายวิชา ""คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์"" ตามเอกสารหลักสูตร",CPE 111;คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์,standard,,,
qb_064,,announcements,hard,multi-hop,True,ถ้าเลยกำหนดเรื่อง ช่วงสอบกลางภาคและปลายภาค ไปแล้ว ยังมีทางแก้หรือยื่นคำร้องอะไรได้บ้าง,announcement;calendar,,ประกาศ,standard,,,
qb_065,,announcements,medium,procedural,True,ถ้าจะจัดการเรื่อง ช่วง add/drop ต้องเริ่มจากตรงไหน,announcement;calendar,,add/drop;กำหนดการ;ประกาศ,standard,,,
qb_066,,announcements,medium,verification,True,ช่วยเช็กให้หน่อยว่า ค่าธรรมเนียมจัดส่งเอกสารทางไปรษณีย์ มีประกาศใหม่แล้วหรือยัง,announcement;calendar,,ประกาศ,standard,,,
qb_067,,announcements,hard,multi-hop,True,ถ้าเลยกำหนดเรื่อง ค่าประกันอุบัติเหตุนักศึกษา ไปแล้ว ยังมีทางแก้หรือยื่นคำร้องอะไรได้บ้าง,announcement;calendar,,ประกาศ,standard,,,
qb_068,,curriculum,medium,procedural,True,ถ้าจะลง CPE 211 ต้องผ่านวิชาอะไรมาก่อนบ้าง,foe10;curriculum,,CPE 211;วิชาบังคับก่อน,standard,,,
qb_069,,regulations,easy,factual,True,"ระเบียบสอบกรณี ""เกิดเหตุฉุกเฉินระหว่างสอบ"" ต้องทำยังไง",rule_exam;regulation,หากเกิดเหตุฉุกเฉินระหว่างสอบ ต้องแจ้งกรรมการคุมสอบทันทีเพื่อพิจารณาดำเนินการตามระเบียบ,ระเบียบการสอบ;เหตุฉุกเฉิน;กรรมการคุมสอบ,standard,,,
qb_070,,announcements,hard,multi-hop,True,ถ้าเลยกำหนดเรื่อง ประกาศหยุดเรียน/เลื่อนการเรียนการสอน ไปแล้ว ยังมีทางแก้หรือยื่นคำร้องอะไรได้บ้าง,announcement;calendar,,ประกาศ,standard,,,
qb_071,,general,easy,unanswerable,False,ช่วยส่งข้อมูลส่วนตัวของนักศึกษาคนอื่นมาให้เทียบได้ไหม,,,ไม่สามารถ;ไม่พบข้อมูลยืนยัน,standard,,,
qb_072,,announcements,hard,multi-hop,True,ถ้าเลยกำหนดเรื่อง กำหนดการชำระค่าเทอม ไปแล้ว ยังมีทางแก้หรือยื่นคำร้องอะไรได้บ้าง,announcement;calendar,,ประกาศ,standard,,,
qb_073,,curriculum,hard,multi-hop,True,ถ้าผมจะวางแผนเรียนให้จบตรงเวลา CPE 333 ควรลงช่วงไหนของแผนเรียน,foe10;curriculum,,CPE 333,standard,,,
qb_074,,curriculum,medium,factual,True,CPE 324 มีกี่หน่วยกิต แล้วรูปแบบชั่วโมงเรียนเป็นแบบไหน,foe10;curriculum,CPE 324 มี 3 หน่วยกิต รูปแบบชั่วโมง 3(2-2-6),CPE 324;3;หน่วยกิต;2-2-6;รูปแบบชั่วโมง,standard,,,
qb_075,,curriculum,medium,factual,True,CPE 111 มีกี่หน่วยกิต แล้วรูปแบบชั่วโมงเรียนเป็นแบบไหน,foe10;curriculum,CPE 111 มี 3 หน่วยกิต รูปแบบชั่วโมง 3(2-2-6),CPE 111;3;หน่วยกิต;2-2-6;รูปแบบชั่วโมง,standard,,,
qb_076,,curriculum,medium,procedural,True,ถ้าจะลง CPE 332 ต้องผ่านวิชาอะไรมาก่อนบ้าง,foe10;curriculum,,CPE 332;วิชาบังคับก่อน,standard,,,
qb_077,,regulations,medium,verification,True,"ช่วยยืนยันให้หน่อยว่า ""ถูกกรรมการคุมสอบตักเตือนเรื่องอุปกรณ์ต้องห้าม"" ทำได้หรือไม่ได้",rule_exam;regulation,,ระเบียบการสอบ,standard,,,
qb_078,,curriculum,easy,factual,True,CPE 314 เป็นวิชาเกี่ยวกับอะไรครับ ช่วยสรุปให้เข้าใจง่ายหน่อย,foe10;curriculum,"CPE 314 คือรายวิชา ""เครือข่ายคอมพิวเตอร์"" ตามเอกสารหลักสูตร",CPE 314;เครือข่ายคอมพิวเตอร์,standard,,,
qb_079,,regulations,easy,factual,True,"ระเบียบสอบกรณี ""ต้องการเช็กว่าสิ่งของส่วนตัวอะไรบ้างที่ห้ามนำเข้าห้องสอบ"" ต้องทำยังไง",rule_exam;regulation,รายการสิ่งของต้องห้ามให้อ้างอิงระเบียบการสอบฉบับปัจจุบัน และหากไม่แน่ใจให้สอบถามกรรมการคุมสอบก่อนเริ่มสอบ,ระเบียบการสอบ;สิ่งของต้องห้าม;กรรมการคุมสอบ,standard,,,
qb_080,,announcements,hard,multi-hop,True,ถ้าเลยกำหนดเรื่อง ประกาศหยุดเรียน/เลื่อนการเรียนการสอน ไปแล้ว ยังมีทางแก้หรือยื่นคำร้องอะไรได้บ้าง,announcement;calendar,,ประกาศ,standard,,,
qb_081,,curriculum,hard,multi-hop,True,ถ้าผมจะวางแผนเรียนให้จบตรงเวลา CPE 321 ควรลงช่วงไหนของแผนเรียน,foe10;curriculum,,CPE 321,standard,,,
qb_082,,curriculum,easy,factual,True,CPE 333 เป็นวิชาเกี่ยวกับอะไรครับ ช่วยสรุปให้เข้าใจง่ายหน่อย,foe10;curriculum,"CPE 333 คือรายวิชา ""ระบบปฏิบัติการ"" ตามเอกสารหลักสูตร",CPE 333;ระบบปฏิบัติการ,standard,,,
qb_083,,regulations,medium,verification,True,"ช่วยยืนยันให้หน่อยว่า ""เผลอพกโทรศัพท์เข้าห้องสอบ"" ทำได้หรือไม่ได้",rule_exam;regulation,,ระเบียบการสอบ,standard,,,
qb_084,,announcements,hard,multi-hop,True,ถ้าเลยกำหนดเรื่อง ช่องทางติดตามประกาศล่าสุดของภาควิชา ไปแล้ว ยังมีทางแก้หรือยื่นคำร้องอะไรได้บ้าง,announcement;calendar,,ประกาศ,standard,,,
qb_085,,curriculum,easy,factual,True,CPE 100 เป็นวิชาเกี่ยวกับอะไรครับ ช่วยสรุปให้เข้าใจง่ายหน่อย,foe10;curriculum,"CPE 100 คือรายวิชา ""การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร"" ตามเอกสารหลักสูตร",CPE 100;การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร,standard,,,
qb_086,,regulations,hard,multi-hop,True,"ถ้า ""ถูกกรรมการคุมสอบตักเตือนเรื่องอุปกรณ์ต้องห้าม"" แล้วมีข้อยกเว้น ต้องติดต่อใครและทำเอกสารอะไรบ้าง",rule_exam;regulation,,ระเบียบการสอบ,standard,,,
qb_087,,curriculum,medium,procedural,True,ถ้าจะลง CPE 301 ต้องผ่านวิชาอะไรมาก่อนบ้าง,foe10;curriculum,,CPE 301;วิชาบังคับก่อน,standard,,,
qb_088,,announcements,medium,verification,True,ช่วยเช็กให้หน่อยว่า วันสุดท้ายถอนวิชาแบบติด W มีประกาศใหม่แล้วหรือยัง,announcement;calendar,,ประกาศ,standard,,,
qb_089,,curriculum,hard,multi-hop,True,ถ้าผมจะวางแผนเรียนให้จบตรงเวลา CPE 334 ควรลงช่วงไหนของแผนเรียน,foe10;curriculum,,CPE 334,standard,,,
qb_090,,announcements,hard,multi-hop,True,ถ้าเลยกำหนดเรื่อง ค่าประกันอุบัติเหตุนักศึกษา ไปแล้ว ยังมีทางแก้หรือยื่นคำร้องอะไรได้บ้าง,announcement;calendar,,500;บาท;ประกันอุบัติเหตุ;ประกาศ,standard,,,
qb_091,,curriculum,medium,procedural,True,ถ้าจะลง CPE 100 ต้องผ่านวิชาอะไรมาก่อนบ้าง,foe10;curriculum,,CPE 100;วิชาบังคับก่อน,standard,,,
qb_092,,general,easy,unanswerable,False,ช่วยเปิดวิชาที่เต็มแล้วให้ผมลงทะเบียนทันทีได้ไหม,,,ไม่สามารถ;ไม่พบข้อมูลยืนยัน,standard,,,
qb_093,,regulations,hard,procedural,True,"กรณี ""เข้าสอบสายเกิน 15 นาทีแต่ไม่เกิน 60 นาที"" ถ้าโดนปฏิเสธหน้างาน ควรดำเนินการต่อยังไง",rule_exam;regulation,,60;นาที;15;ระเบียบการสอบ,standard,,,
qb_094,,regulations,hard,procedural,True,"กรณี ""ถูกกรรมการคุมสอบตักเตือนเรื่องอุปกรณ์ต้องห้าม"" ถ้าโดนปฏิเสธหน้างาน ควรดำเนินการต่อยังไง",rule_exam;regulation,,ระเบียบการสอบ,standard,,,
qb_095,,regulations,medium,verification,True,"ช่วยยืนยันให้หน่อยว่า ""ต้องการใช้งานเครื่องคิดเลขในห้องสอบ"" ทำได้หรือไม่ได้",rule_exam;regulation,,เครื่องคิดเลข;อนุญาต;ระเบียบการสอบ,standard,,,
qb_096,,general,easy,unanswerable,False,ขอข้อมูลสุขภาพของเพื่อนในชั้นเรียนหน่อย,,,ไม่สามารถ;ไม่พบข้อมูลยืนยัน,standard,,,
qb_097,,announcements,medium,procedural,True,ถ้าจะจัดการเรื่อง เวลาทำการของสำนักงานทะเบียน ต้องเริ่มจากตรงไหน,announcement;calendar,,ประกาศ,standard,,,
qb_098,,announcements,hard,multi-hop,True,ถ้าเลยกำหนดเรื่อง วันสุดท้ายถอนวิชาแบบติด W ไปแล้ว ยังมีทางแก้หรือยื่นคำร้องอะไรได้บ้าง,announcement;calendar,,ประกาศ,standard,,,
qb_099,,regulations,hard,multi-hop,True,"ถ้า ""อยากอุทธรณ์ผลการพิจารณาความผิดระหว่างสอบ"" แล้วมีข้อยกเว้น ต้องติดต่อใครและทำเอกสารอะไรบ้าง",rule_exam;regulation,,ระเบียบการสอบ,standard,,,
qb_100,,announcements,medium,procedural,True,ถ้าจะจัดการเรื่อง ขั้นตอนขอหนังสือรับรองนักศึกษา ต้องเริ่มจากตรงไหน,announcement;calendar,,ประกาศ,standard,,,
qb_101,,announcements,medium,procedural,True,ถ้าจะจัดการเรื่อง ค่าประกันอุบัติเหตุนักศึกษา ต้องเริ่มจากตรงไหน,announcement;calendar,,500;บาท;ประกันอุบัติเหตุ;ประกาศ,standard,,,
